x,y
447.98,663.18
393.08,494.91
55.34,578.72
292.49,180.61
413.19,557.77
426.6,599.67
155.92,264.42
68.75,536.82
347.4,348.88
295.85,191.09
279.08,138.7
232.85,366.5
437.92,631.75
198.25,128.88
54.08,579.37
127.84,348.88
174.78,202.21
246.81,34.59
80.91,495.56
265.85,366.5
221.72,55.54
40.67,621.28
192.8,149.18
297.1,191.74
376.31,442.53
350.75,359.36
354.1,369.84
17.21,694.61
10.5,715.57
254.85,366.5
243.85,366.5
62.05,557.77
121.85,367.5
423.25,589.2
323.93,275.55
206.22,107.27
20.56,684.14
326.02,285.38
276.85,366.5
407.74,537.46
171.43,212.69
256.87,66.02
255.61,65.37
236.39,12.99
356.2,379.67
258.97,75.84
310.52,233.64
186.1,170.13
372.96,432.05
37.32,631.75
273.64,118.4
342.79,337.76
248.91,44.42
383.02,463.48
139.16,316.81
287.85,366.5
298.85,366.5
315.96,253.95
377.57,443.17
369.61,421.57
337.34,317.45
441.27,642.23
164.72,233.64
250.17,45.06
67.5,537.46
117.79,380.31
119.04,379.67
7.15,726.04
15.11,704.44
132.85,367.5
143.85,367.5
142.51,306.33
154.85,367.5
27.26,663.18
95.58,453.0
309.85,366.5
446.72,662.53
85.52,484.43
141.26,306.98
209.57,96.8
87.61,474.6
211.66,86.97
231.85,367.5
88.87,473.96
242.85,367.5
313.87,244.12
434.57,621.28
134.55,327.93
320.85,366.5
282.44,149.18
189.45,159.66
401.04,516.51
105.63,421.57
243.46,24.11
396.43,505.39
399.78,515.86
101.02,432.7
374.22,432.7
332.73,306.33
340.69,327.93
390.98,485.08
463.48,714.92
165.85,367.5
176.85,367.5
187.85,367.5
253.52,55.54
137.9,317.45
104.38,422.22
431.21,610.8
51.99,589.2
309.26,232.99
346.14,348.24
359.55,390.14
327.28,286.02
286.85,367.5
331.85,366.5
342.85,366.5
60.79,558.42
287.05,160.31
225.07,45.06
31.87,652.06
440.01,641.58
165.98,232.99
444.62,652.71
204.96,107.92
450.07,673.01
362.9,400.62
253.85,367.5
263.58,86.97
74.2,516.51
229.68,33.94
194.9,139.35
181.49,181.26
184.84,170.78
238.85,12.99
168.08,223.17
367.51,411.74
290.4,170.78
202.86,117.75
149.22,285.38
77.55,506.03
18.46,693.96
270.28,107.92
198.85,367.5
209.85,367.5
220.85,367.5
178.14,191.74
50.73,589.85
124.49,359.36
276.99,128.88
308.85,367.5
319.85,367.5
233.04,23.46
108.99,411.1
364.16,401.27
433.31,620.63
370.86,422.22
112.34,400.62
245.56,33.94
33.97,642.23
443.37,652.06
97.67,443.17
222.98,54.89
451.33,673.66
196.16,138.7
299.2,201.56
303.81,212.69
411.1,547.94
8.4,725.39
35.23,641.58
21.82,683.49
406.49,536.82
272.38,117.75
242.2,23.46
65.4,547.29
115.69,390.14
330.63,296.5
82.16,494.91
228.43,34.59
409.84,547.29
122.85,366.5
133.85,366.5
98.93,442.53
285.79,159.66
252.26,54.89
403.13,526.34
144.61,296.5
212.92,86.32
114.43,390.79
317.22,254.59
23.91,673.66
152.57,274.9
199.51,128.23
379.67,453.0
208.31,97.45
48.64,599.67
389.72,484.43
357.45,380.31
341.85,367.5
280.34,139.35
154.67,265.07
349.49,358.71
427.86,600.32
94.32,453.65
264.85,367.5
111.08,401.27
352.84,369.19
41.93,620.63
460.13,704.44
13.85,705.09
466.84,725.39
322.67,274.9
38.58,631.1
147.96,286.02
458.04,694.61
265.67,96.8
344.04,338.41
191.55,149.83
461.39,705.09
275.85,367.5
226.33,44.42
456.78,693.96
312.61,243.47
240.11,13.63
188.19,160.31
11.76,714.92
144.85,366.5
155.85,366.5
166.85,366.5
172.69,212.04
404.39,526.99
84.26,485.08
293.75,181.26
454.68,684.14
366.25,411.1
162.63,243.47
414.45,558.42
158.02,254.59
161.37,244.12
262.32,86.32
145.87,295.85
70.85,526.99
320.57,265.07
151.31,275.55
416.54,568.25
297.85,367.5
58.7,568.25
419.9,578.72
289.14,170.13
429.96,610.15
129.1,348.24
235.13,13.63
319.32,264.42
417.8,568.89
25.17,673.01
329.37,295.85
219.63,65.37
333.98,306.98
269.02,107.27
57.44,568.89
159.28,253.95
339.43,327.28
90.96,464.13
468.09,726.04
72.11,526.34
28.52,662.53
275.73,128.23
260.22,76.49
305.91,222.52
177.85,366.5
188.85,366.5
199.85,366.5
176.04,201.56
215.02,76.49
231.78,24.11
64.14,547.94
436.66,631.1
283.69,149.83
102.28,432.05
300.46,202.21
302.55,212.04
421.16,579.37
47.38,600.32
131.2,338.41
92.22,463.48
330.85,367.5
132.46,337.76
384.28,464.13
182.75,180.61
169.33,222.52
394.33,495.56
78.81,505.39
386.37,473.96
360.81,390.79
464.74,715.57
107.73,411.74
30.62,652.71
179.39,191.09
380.92,453.65
218.37,66.02
45.28,610.15
336.08,316.81
453.42,683.49
307.16,223.17
44.03,610.8
135.81,327.28
266.93,97.45
75.46,515.86
216.27,75.84
387.63,474.6
125.75,358.71
201.6,118.4
397.69,506.03
210.85,366.5
221.85,366.5
424.51,589.85
