x,y
8.145,8.94
8.145,8.94
7.66,8.45
8.145,18.729999999999997
8.145,18.729999999999997
7.66,18.24
8.145,29.490000000000002
8.145,29.490000000000002
7.66,29.0
8.145,40.260000000000005
8.145,40.260000000000005
7.66,39.77
8.145,51.019999999999996
8.145,51.019999999999996
7.66,50.53
8.145,61.78
8.145,61.78
7.66,61.29
8.145,72.55000000000001
8.145,72.55000000000001
7.66,72.06
8.145,83.31
8.145,83.31
7.66,82.82
8.145,94.08
8.145,94.08
7.66,93.59
8.145,104.84
8.145,104.84
7.66,104.35
8.145,115.605
8.145,115.605
7.66,115.12
8.145,126.37
8.145,126.37
7.66,125.88
8.145,137.13
8.145,137.13
7.66,136.64
8.145,147.89999999999998
8.145,147.89999999999998
7.66,147.41
8.145,158.66
8.145,158.66
7.66,158.17
8.145,169.425
8.145,169.425
7.66,168.94
8.145,180.19
8.145,180.19
7.66,179.7
8.145,190.95
8.145,190.95
7.66,190.46
8.145,201.72
8.145,201.72
7.66,201.23
8.145,212.48000000000002
8.145,212.48000000000002
7.66,211.99
8.145,222.26999999999998
8.145,222.26999999999998
7.66,221.78
8.145,233.03
8.145,233.03
7.66,232.54
8.145,243.79500000000002
8.145,243.79500000000002
7.66,243.31
8.145,254.56
8.145,254.56
7.66,254.07
8.145,265.32
8.145,265.32
7.66,264.83
8.145,276.09000000000003
8.145,276.09000000000003
7.66,275.6
8.145,286.85
8.145,286.85
7.66,286.36
8.145,297.62
8.145,297.62
7.66,297.13
8.145,301.53
8.145,301.53
8.63,301.04
8.145,308.38
8.145,308.38
7.66,307.89
8.145,319.145
8.145,319.145
7.66,318.66
8.145,329.90999999999997
8.145,329.90999999999997
7.66,329.42
8.145,340.67
8.145,340.67
7.66,340.18
8.145,351.44
8.145,351.44
7.66,350.95
8.145,362.2
8.145,362.2
7.66,361.71
8.145,372.96500000000003
8.145,372.96500000000003
7.66,372.48
8.145,383.73
8.145,383.73
7.66,383.24
8.145,394.49
8.145,394.49
7.66,394.0
8.145,405.26
8.145,405.26
7.66,404.77
8.145,416.02
8.145,416.02
7.66,415.53
8.145,425.81
8.145,425.81
7.66,425.32
8.145,436.57
8.145,436.57
7.66,436.08
8.145,447.33500000000004
8.145,447.33500000000004
7.66,446.85
8.145,458.1
8.145,458.1
7.66,457.61
8.145,468.86
8.145,468.86
7.66,468.37
8.145,479.63
8.145,479.63
7.66,479.14
8.145,490.39
8.145,490.39
7.66,489.9
8.145,501.155
8.145,501.155
7.66,500.67
8.145,511.91999999999996
8.145,511.91999999999996
7.66,511.43
8.145,522.6800000000001
8.145,522.6800000000001
7.66,522.19
8.145,533.45
8.145,533.45
7.66,532.96
8.145,544.21
8.145,544.21
7.66,543.72
8.145,554.98
8.145,554.98
7.66,554.49
8.145,565.74
8.145,565.74
7.66,565.25
8.145,576.505
8.145,576.505
7.66,576.02
8.145,587.27
8.145,587.27
7.66,586.78
8.145,598.03
8.145,598.03
7.66,597.54
8.145,608.8
8.145,608.8
7.66,608.31
8.145,619.56
8.145,619.56
7.66,619.07
8.145,629.35
8.145,629.35
7.66,628.86
8.145,640.11
8.145,640.11
7.66,639.62
8.145,650.875
8.145,650.875
7.66,650.39
8.145,661.64
8.145,661.64
7.66,661.15
8.145,672.4
8.145,672.4
7.66,671.91
8.145,683.17
8.145,683.17
7.66,682.68
8.145,693.9300000000001
8.145,693.9300000000001
7.66,693.44
8.145,704.6949999999999
8.145,704.6949999999999
7.66,704.21
8.145,715.46
8.145,715.46
7.66,714.97
8.145,726.22
8.145,726.22
7.66,725.73
18.795,8.94
18.795,8.94
18.31,8.45
18.795,301.53
18.795,301.53
18.31,301.04
18.795,726.22
18.795,726.22
18.31,725.73
29.45,8.94
29.45,8.94
28.97,8.45
29.45,301.53
29.45,301.53
28.97,301.04
29.45,726.22
29.45,726.22
28.97,725.73
40.105000000000004,8.94
40.105000000000004,8.94
40.59,9.43
40.105000000000004,301.53
40.105000000000004,301.53
40.59,302.02
40.105000000000004,726.22
40.105000000000004,726.22
39.62,725.73
50.755,8.94
50.755,8.94
51.24,9.43
50.755,301.53
50.755,301.53
51.24,302.02
50.755,726.22
50.755,726.22
50.27,725.73
61.415,8.94
61.415,8.94
61.9,9.43
61.415,301.53
61.415,301.53
61.9,302.02
61.415,726.22
61.415,726.22
60.93,725.73
72.065,301.53
72.065,301.53
72.55,302.02
72.065,8.94
72.065,8.94
71.58,8.45
72.065,726.22
72.065,726.22
71.58,725.73
82.72,8.94
82.72,8.94
82.24,8.45
82.72,301.53
82.72,301.53
82.24,301.04
82.72,726.22
82.72,726.22
82.24,725.73
93.375,8.94
93.375,8.94
92.89,8.45
93.375,301.53
93.375,301.53
92.89,301.04
93.375,726.22
93.375,726.22
92.89,725.73
104.025,8.94
104.025,8.94
104.51,9.43
104.025,301.53
104.025,301.53
104.51,302.02
104.025,726.22
104.025,726.22
103.54,725.73
114.685,8.94
114.685,8.94
115.17,9.43
114.685,301.53
114.685,301.53
115.17,302.02
114.685,726.22
114.685,726.22
114.2,725.73
125.335,8.94
125.335,8.94
125.82,9.43
125.335,301.53
125.335,301.53
125.82,302.02
125.335,726.22
125.335,726.22
124.85,725.73
135.995,8.94
135.995,8.94
136.48,9.43
135.995,301.53
135.995,301.53
136.48,302.02
135.995,726.22
135.995,726.22
135.51,725.73
146.64499999999998,8.94
146.64499999999998,8.94
147.13,9.43
146.64499999999998,301.53
146.64499999999998,301.53
147.13,302.02
146.64499999999998,726.22
146.64499999999998,726.22
146.16,725.73
157.3,8.94
157.3,8.94
157.78,9.43
157.3,301.53
157.3,301.53
157.78,302.02
157.3,726.22
157.3,726.22
156.82,725.73
167.95499999999998,8.94
167.95499999999998,8.94
168.44,9.43
167.95499999999998,301.53
167.95499999999998,301.53
168.44,302.02
167.95499999999998,726.22
167.95499999999998,726.22
167.47,725.73
178.60500000000002,8.94
178.60500000000002,8.94
179.09,9.43
178.60500000000002,301.53
178.60500000000002,301.53
179.09,302.02
178.60500000000002,726.22
178.60500000000002,726.22
178.12,725.73
189.265,301.53
189.265,301.53
189.75,302.02
189.265,8.94
189.265,8.94
189.75,9.43
189.265,726.22
189.265,726.22
188.78,725.73
199.91500000000002,8.94
199.91500000000002,8.94
200.4,9.43
199.91500000000002,301.53
199.91500000000002,301.53
200.4,302.02
199.91500000000002,726.22
199.91500000000002,726.22
199.43,725.73
210.57,8.94
210.57,8.94
211.05,9.43
210.57,301.53
210.57,301.53
211.05,302.02
210.57,726.22
210.57,726.22
210.09,725.73
221.22500000000002,8.94
221.22500000000002,8.94
221.71,9.43
221.22500000000002,301.53
221.22500000000002,301.53
221.71,302.02
221.22500000000002,726.22
221.22500000000002,726.22
220.74,725.73
231.875,8.94
231.875,8.94
232.36,9.43
231.875,301.53
231.875,301.53
232.36,302.02
231.875,726.22
231.875,726.22
231.39,725.73
242.53500000000003,8.94
242.53500000000003,8.94
243.02,9.43
242.53500000000003,301.53
242.53500000000003,301.53
243.02,302.02
242.53500000000003,726.22
242.53500000000003,726.22
242.05,725.73
253.185,726.22
253.185,726.22
253.67,725.73
253.185,8.94
253.185,8.94
252.7,8.45
253.185,301.53
253.185,301.53
252.7,301.04
262.935,726.005
262.935,726.005
263.4,725.5
263.845,7.959999999999999
263.845,7.959999999999999
264.33,7.47
264.33,301.53
264.33,301.03999999999996
264.33,300.55
264.33,301.04
273.56,725.35
273.56,725.35
274.0,724.82
274.725,8.735
274.725,8.735
275.17,9.26
274.865,300.78499999999997
274.865,300.78499999999997
275.31,300.26
284.15,724.1700000000001
284.15,724.1700000000001
284.56,723.62
285.245,9.885
285.245,9.885
285.65,10.44
285.385,299.615
285.385,299.615
285.79,299.06
290.57500000000005,304.165
290.57500000000005,304.165
290.18,303.6
294.65999999999997,722.44
294.65999999999997,722.44
295.05,721.87
295.655,11.815000000000001
295.655,11.815000000000001
296.02,12.4
295.78999999999996,297.67499999999995
295.78999999999996,297.67499999999995
296.15,297.09
301.025,306.22
301.025,306.22
300.66,305.64
