x,y
27.97,503.23
85.6,112.48
25.6,242.52
9.12,393.98
38.66,534.48
73.54,601.87
269.08,725.79
8.42,371.97
34.83,524.15
426.66,658.74
31.9,512.47
12.14,306.06
194.96,22.67
270.07,726.81
205.32,715.15
468.37,607.61
418.64,68.83
259.05,8.44
392.92,687.03
15.39,449.65
121.83,72.53
56.73,574.63
434.31,649.44
106.61,645.62
374.33,698.87
344.47,20.66
364.99,31.0
52.22,170.47
364.56,29.66
146.97,51.3
441.75,642.69
441.68,91.04
25.63,491.41
43.31,543.39
31.23,220.2
114.01,78.85
410.5,672.18
147.06,682.59
323.54,13.81
35.4,211.05
345.04,21.96
393.17,685.64
22.89,480.77
184.41,28.52
39.2,200.74
301.97,9.26
13.65,438.78
410.29,60.16
10.18,394.92
215.07,16.51
47.65,553.48
35.44,522.88
147.18,49.9
19.62,262.67
47.15,554.8
9.17,338.96
92.5,628.8
226.37,12.41
355.18,707.57
383.97,41.97
280.97,8.2
165.26,694.85
79.57,611.05
175.06,32.18
448.85,634.26
114.09,655.06
10.83,329.04
462.09,117.02
455.58,108.13
426.67,657.33
236.38,722.51
13.63,295.15
121.86,71.12
24.9,241.29
22.13,251.95
57.11,160.64
462.16,616.71
18.18,459.31
281.05,725.62
426.58,75.0
434.28,82.88
129.91,65.11
248.09,725.34
11.81,415.84
42.77,544.7
73.23,603.25
184.88,27.18
16.21,448.5
47.6,180.44
174.66,33.54
57.16,573.29
455.65,625.6
28.64,501.98
61.89,149.58
62.33,582.98
184.52,705.35
12.16,427.87
106.54,88.28
383.67,40.59
20.38,263.86
237.13,10.15
418.73,664.91
8.65,382.98
165.6,696.23
114.03,80.26
354.68,708.89
99.34,96.57
448.78,99.46
345.07,711.85
364.63,704.12
73.17,130.67
434.23,84.29
38.62,199.45
165.5,37.66
334.75,715.6
401.98,679.09
79.5,122.87
85.89,620.03
323.55,720.01
10.92,405.89
28.61,231.95
468.02,127.5
468.3,126.11
121.95,662.79
461.85,118.41
291.02,7.9
9.41,361.97
22.16,481.98
334.11,716.86
392.83,46.72
52.27,563.45
302.81,10.41
16.19,285.43
184.98,706.69
455.46,624.2
302.0,724.55
34.79,209.78
312.83,722.58
106.54,647.04
19.65,471.26
67.38,140.04
9.68,383.95
79.24,121.48
10.92,416.93
313.59,12.42
324.25,718.79
365.06,702.78
384.07,691.78
130.0,668.79
468.08,606.23
61.95,584.33
270.0,8.01
9.64,350.99
426.59,76.41
383.77,693.16
354.63,24.91
236.32,11.32
43.26,190.54
39.24,533.18
455.38,109.53
259.06,726.38
138.54,677.28
248.02,8.49
22.86,253.16
401.88,54.66
312.82,11.24
237.18,723.68
138.45,56.62
334.74,18.22
121.91,661.37
99.29,638.75
51.75,169.14
67.73,141.41
147.28,683.99
20.41,470.07
165.16,39.03
291.07,725.92
393.07,48.12
13.03,426.76
114.11,653.64
258.13,725.31
8.42,360.97
410.41,61.57
8.68,349.95
334.1,16.96
418.58,67.42
194.51,709.88
92.26,103.71
24.93,492.64
130.1,670.2
138.39,675.87
9.43,372.96
302.83,723.41
374.6,36.26
175.16,701.69
205.26,18.69
324.24,15.03
15.38,284.28
225.63,13.62
138.3,58.02
155.92,44.96
130.01,63.7
10.91,317.0
247.23,724.22
374.71,697.5
448.7,632.86
418.67,666.32
51.8,564.78
441.65,641.28
14.48,296.29
47.1,179.12
280.13,726.66
11.8,318.1
31.87,221.46
344.5,713.15
13.01,307.18
410.38,673.58
92.33,630.2
17.39,460.48
27.93,230.7
17.37,273.45
226.4,721.41
62.28,150.94
10.12,340.01
67.79,592.51
204.72,713.88
401.8,680.49
448.63,100.87
434.36,650.86
268.98,7.03
85.82,113.88
257.98,7.51
9.92,327.97
31.26,513.73
441.58,92.45
291.96,724.82
99.21,95.16
313.6,721.4
73.47,132.05
106.46,86.87
291.92,8.99
355.13,26.23
461.91,615.31
215.1,717.32
156.02,688.93
195.04,711.18
9.85,404.97
156.3,690.32
194.43,23.98
215.77,718.57
215.74,15.26
67.44,593.88
204.65,19.97
99.41,637.34
79.3,612.44
92.43,105.11
247.15,9.61
14.49,437.65
280.01,7.15
374.24,34.89
174.76,700.34
85.67,621.43
401.7,53.25
56.68,159.29
42.72,189.23
18.16,274.62
156.2,43.57
225.66,720.21
