x,y
8.95,421.33
408.65,189.7
244.89,674.75
164.83,28.05
196.95,39.22
9.95,48.33
78.5,11.03
468.12,340.29
224.25,684.94
457.1,287.48
380.74,154.43
68.45,10.94
118.9,716.26
8.95,69.33
426.71,217.23
129.69,714.09
9.95,620.33
9.95,70.33
227.16,49.78
459.93,439.52
430.98,510.84
8.95,520.33
311.4,638.12
446.25,256.48
9.95,367.33
234.38,680.62
9.95,235.33
141.19,710.51
111.17,15.83
468.98,352.28
8.95,267.33
8.95,641.33
8.95,135.33
183.54,698.79
9.95,488.33
349.01,125.43
247.74,60.1
23.62,7.17
247.27,58.77
8.95,388.33
464.41,319.59
413.43,538.82
445.09,479.82
8.95,509.33
406.79,546.36
133.54,21.27
9.95,510.33
286.52,80.75
346.61,610.12
436.21,501.1
464.7,418.06
8.95,36.33
460.67,296.86
435.77,499.75
9.95,587.33
9.95,37.33
456.27,448.86
468.31,384.25
467.82,396.26
9.95,334.33
21.42,725.39
9.95,708.33
9.95,202.33
419.59,529.69
264.58,665.0
277.01,75.26
67.56,9.84
8.95,608.33
413.18,537.43
463.9,416.9
9.95,455.33
466.89,329.35
346.49,611.53
467.21,341.38
305.15,92.41
8.95,355.33
459.22,438.31
449.77,470.92
8.95,223.33
203.73,692.93
9.95,356.33
388.15,162.58
469.25,374.3
185.9,34.43
8.95,476.33
320.64,630.42
119.69,715.09
9.95,477.33
329.28,625.27
9.95,103.33
465.62,406.06
224.79,683.64
161.78,706.31
254.34,671.32
469.31,362.28
9.95,554.33
8.95,124.33
9.95,301.33
456.94,450.1
9.95,675.33
386.05,573.3
9.95,125.33
9.95,169.33
314.25,98.57
414.97,198.68
468.77,373.29
207.28,42.96
302.22,644.21
8.95,575.33
9.95,422.33
8.95,322.33
56.59,8.87
8.95,696.33
8.95,190.33
43.4,724.54
9.95,323.33
9.95,697.33
8.95,443.33
395.19,172.35
446.8,255.17
450.83,265.38
348.9,124.02
196.33,37.94
9.95,444.33
101.15,15.16
393.17,563.58
97.19,719.97
462.38,308.78
234.89,679.3
175.39,31.13
151.86,707.9
267.37,69.99
65.32,722.88
283.81,654.35
9.95,521.33
314.0,97.17
98.03,718.83
151.14,709.11
8.95,91.33
362.95,596.9
465.23,318.43
9.95,268.33
193.97,695.33
217.53,46.92
9.95,642.33
9.95,92.33
9.95,136.33
437.62,235.19
162.48,705.08
8.95,542.33
100.31,14.02
9.95,389.33
9.95,543.33
419.29,528.31
8.95,289.33
8.95,663.33
8.95,113.33
8.95,157.33
9.95,290.33
295.91,86.47
9.95,664.33
9.45,725.51
337.97,618.51
8.95,410.33
254.79,669.98
9.95,411.33
466.47,407.19
172.37,703.29
340.58,118.38
216.97,45.62
20.46,726.41
400.27,556.48
45.61,8.1
406.99,547.75
393.29,564.99
108.88,717.07
400.11,555.07
467.93,351.33
402.05,180.92
8.95,432.33
378.54,579.97
8.95,58.33
122.0,17.85
365.24,138.78
90.28,13.55
9.95,609.33
12.62,7.01
9.95,59.33
461.76,427.66
441.09,491.2
35.57,8.57
453.87,277.01
283.45,655.72
415.23,197.29
32.42,725.07
9.95,224.33
331.97,111.55
8.95,256.33
8.95,630.33
186.54,35.69
8.95,80.33
357.17,131.29
8.95,14.33
9.95,257.33
9.95,631.33
292.9,650.08
9.95,15.33
8.95,377.33
264.16,666.34
8.95,245.33
9.95,378.33
9.95,246.33
425.44,520.36
311.66,636.73
440.61,489.86
8.95,498.33
453.55,460.57
75.37,722.84
8.95,278.33
8.95,652.33
257.61,64.93
9.95,499.33
385.97,571.89
427.06,215.87
274.26,659.79
165.52,29.28
8.95,399.33
8.95,25.33
357.24,132.71
466.93,395.16
323.19,104.95
9.95,576.33
9.95,26.33
304.87,91.02
257.17,63.59
442.39,245.12
462.52,428.85
329.47,623.87
354.82,604.33
182.89,700.05
9.95,191.33
362.99,595.49
227.69,51.09
420.99,207.86
295.59,85.09
388.06,163.99
8.95,597.33
8.95,47.33
441.9,246.44
9.95,598.33
457.78,286.24
8.95,344.33
111.98,16.99
8.95,718.33
331.79,110.15
8.95,212.33
293.23,648.7
395.32,170.94
9.95,345.33
454.5,275.74
9.95,719.33
244.41,676.08
9.95,213.33
380.7,155.84
8.95,465.33
378.58,581.38
8.95,619.33
34.61,7.53
9.95,466.33
276.62,73.9
13.61,8.01
10.45,726.51
237.26,54.17
42.46,725.6
8.95,366.33
8.95,234.33
273.86,661.14
8.95,487.33
445.62,481.13
9.95,114.33
9.95,158.33
132.78,20.08
340.43,116.97
214.03,689.04
144.25,23.73
143.51,22.52
53.44,724.89
8.95,564.33
86.29,721.51
9.95,565.33
154.2,25.18
402.23,179.51
450.25,266.67
8.95,311.33
8.95,685.33
8.95,179.33
31.46,726.11
176.06,32.38
9.95,312.33
122.78,19.02
9.95,686.33
9.95,180.33
87.15,720.39
204.32,691.65
466.03,330.47
46.55,9.16
8.95,586.33
9.95,433.33
421.3,206.48
338.13,617.11
8.95,333.33
8.95,707.33
8.95,201.33
437.18,236.53
79.38,12.14
452.93,459.3
8.95,454.33
173.04,702.04
463.16,307.6
64.41,723.97
237.77,55.49
206.69,41.67
9.95,81.33
154.91,26.4
432.11,226.79
8.95,531.33
468.75,385.28
193.35,696.6
9.95,532.33
140.44,711.71
57.51,9.94
320.42,631.81
108.06,718.22
8.95,102.33
8.95,146.33
130.46,712.9
354.9,602.92
9.95,279.33
286.17,79.38
365.27,140.2
9.95,653.33
9.95,147.33
425.1,518.99
266.95,68.63
408.87,188.3
214.6,687.75
432.51,225.44
8.95,553.33
89.42,12.42
9.95,400.33
459.94,298.08
468.32,363.3
76.25,721.74
449.2,469.63
8.95,300.33
24.59,8.19
54.4,724.31
8.95,674.33
8.95,168.33
322.98,103.55
302.52,642.83
430.59,509.48
