x,y
7.0,682.5
7.0,264.5
19.85,367.5
129.5,725.0
140.5,725.0
151.5,725.0
8.0,274.5
240.85,366.5
7.5,726.0
18.5,726.0
251.85,366.5
103.5,7.0
63.5,725.0
114.5,7.0
459.5,725.0
238.5,726.0
249.5,726.0
260.5,726.0
7.0,385.5
191.5,7.0
366.5,8.0
377.5,8.0
7.0,165.5
422.5,7.0
433.5,7.0
8.0,395.5
300.5,8.0
7.0,286.5
8.0,516.5
8.0,98.5
7.0,407.5
74.5,725.0
85.5,725.0
8.85,367.5
30.85,367.5
202.5,7.0
118.85,367.5
129.85,367.5
8.0,637.5
337.5,726.0
348.5,726.0
8.0,219.5
404.5,725.0
58.5,8.0
69.5,8.0
80.5,8.0
125.5,7.0
7.0,528.5
7.0,110.5
388.5,8.0
8.0,340.5
8.0,120.5
7.0,649.5
7.0,231.5
7.0,11.5
8.0,241.5
41.85,367.5
52.85,367.5
162.5,725.0
173.5,725.0
217.85,367.5
7.0,132.5
29.5,726.0
40.5,726.0
213.5,7.0
140.85,367.5
8.0,362.5
224.5,7.0
399.5,8.0
14.5,8.0
359.5,726.0
410.5,8.0
455.5,7.0
333.5,8.0
7.0,253.5
8.0,483.5
8.0,65.5
7.0,374.5
8.0,604.5
8.0,186.5
51.5,726.0
96.5,725.0
63.85,367.5
235.5,7.0
151.85,367.5
162.85,367.5
184.5,725.0
7.0,495.5
370.5,726.0
381.5,726.0
426.5,725.0
7.0,77.5
91.5,8.0
102.5,8.0
158.5,7.0
8.0,87.5
421.5,8.0
25.5,8.0
261.85,367.5
7.0,616.5
7.0,198.5
8.0,208.5
7.0,99.5
195.5,725.0
206.5,725.0
8.0,329.5
250.85,367.5
62.5,726.0
73.5,726.0
246.5,7.0
173.85,367.5
7.0,220.5
432.5,8.0
113.5,8.0
8.0,450.5
8.0,32.5
7.0,341.5
8.0,571.5
75.85,366.5
7.0,462.5
84.5,726.0
7.0,44.5
8.0,692.5
257.5,7.0
268.5,7.0
184.85,367.5
195.85,367.5
217.5,725.0
392.5,726.0
403.5,726.0
414.5,726.0
8.0,54.5
124.5,8.0
135.5,8.0
7.0,583.5
326.5,726.0
443.5,8.0
454.5,8.0
8.0,175.5
7.0,704.5
7.0,66.5
8.0,296.5
228.5,725.0
239.5,725.0
97.85,366.5
7.0,187.5
95.5,726.0
106.5,726.0
8.0,417.5
279.5,7.0
206.85,367.5
465.5,8.0
146.5,8.0
7.0,308.5
8.0,538.5
7.0,429.5
8.0,659.5
108.85,366.5
8.0,21.5
290.5,7.0
7.0,550.5
250.5,725.0
425.5,726.0
436.5,726.0
157.5,8.0
168.5,8.0
8.0,142.5
7.0,671.5
7.0,33.5
8.0,263.5
9.85,366.5
31.85,366.5
20.85,366.5
7.0,154.5
261.5,725.0
272.5,725.0
8.0,384.5
119.85,366.5
130.85,366.5
117.5,726.0
128.5,726.0
139.5,726.0
7.0,275.5
228.85,367.5
239.85,367.5
301.5,7.0
312.5,7.0
447.5,726.0
8.0,505.5
179.5,8.0
7.0,396.5
8.0,626.5
42.85,366.5
141.85,366.5
7.0,517.5
64.85,366.5
323.5,7.0
458.5,726.0
8.0,109.5
190.5,8.0
201.5,8.0
7.0,638.5
8.0,648.5
8.0,230.5
7.0,121.5
53.85,366.5
8.0,351.5
283.5,725.0
294.5,725.0
7.0,660.5
152.85,366.5
7.0,242.5
411.5,7.0
15.5,7.0
26.5,7.0
150.5,726.0
161.5,726.0
172.5,726.0
8.0,472.5
289.5,8.0
334.5,7.0
345.5,7.0
7.0,363.5
8.0,593.5
7.0,484.5
8.0,714.5
163.85,366.5
174.85,366.5
8.0,494.5
382.5,725.0
393.5,725.0
8.0,76.5
7.0,605.5
86.85,366.5
356.5,7.0
305.5,725.0
37.5,7.0
212.5,8.0
223.5,8.0
8.0,615.5
8.0,197.5
7.0,506.5
7.0,88.5
8.0,318.5
7.0,627.5
7.0,209.5
316.5,725.0
327.5,725.0
8.0,439.5
185.85,366.5
444.5,7.0
48.5,7.0
59.5,7.0
183.5,726.0
194.5,726.0
7.0,330.5
311.5,8.0
322.5,8.0
367.5,7.0
378.5,7.0
8.0,560.5
234.5,8.0
7.0,451.5
8.0,681.5
8.0,461.5
8.0,43.5
7.0,572.5
196.85,366.5
415.5,725.0
8.5,725.0
7.0,352.5
19.5,725.0
30.5,725.0
136.5,7.0
74.85,367.5
147.5,7.0
271.5,726.0
282.5,726.0
8.0,582.5
293.5,726.0
338.5,725.0
389.5,7.0
8.0,164.5
466.5,7.0
70.5,7.0
7.0,693.5
256.5,8.0
205.5,726.0
245.5,8.0
7.0,473.5
7.0,55.5
8.0,703.5
8.0,285.5
7.0,594.5
7.0,176.5
8.0,406.5
107.5,725.0
118.5,725.0
349.5,725.0
360.5,725.0
7.0,715.5
7.0,297.5
207.85,366.5
218.85,366.5
81.5,7.0
216.5,726.0
227.5,726.0
8.0,527.5
85.85,367.5
344.5,8.0
8.0,307.5
400.5,7.0
7.0,418.5
267.5,8.0
8.0,428.5
8.0,10.5
7.0,539.5
7.0,319.5
229.85,366.5
8.0,549.5
437.5,725.0
8.0,131.5
41.5,725.0
52.5,725.0
448.5,725.0
180.5,7.0
169.5,7.0
96.85,367.5
107.85,367.5
304.5,726.0
315.5,726.0
7.0,440.5
371.5,725.0
7.0,22.5
36.5,8.0
47.5,8.0
92.5,7.0
278.5,8.0
8.0,670.5
8.0,252.5
355.5,8.0
262.85,366.5
7.0,561.5
7.0,143.5
8.0,373.5
8.0,153.5
