x,y
7.0,682.5
7.0,627.5
7.0,264.5
7.0,209.5
7.0,154.5
7.0,99.5
19.85,367.5
257.5,7.0
8.0,439.5
8.0,384.5
119.85,366.5
8.0,329.5
130.85,366.5
8.0,274.5
185.85,366.5
7.5,726.0
48.5,7.0
59.5,7.0
103.5,7.0
114.5,7.0
240.85,366.5
251.85,366.5
444.5,7.0
7.0,385.5
191.5,7.0
7.0,330.5
173.85,367.5
7.0,275.5
228.85,367.5
7.0,220.5
239.85,367.5
7.0,165.5
202.5,7.0
246.5,7.0
250.85,367.5
301.5,7.0
312.5,7.0
367.5,7.0
378.5,7.0
422.5,7.0
433.5,7.0
8.0,560.5
113.5,8.0
8.0,505.5
31.85,366.5
8.0,450.5
179.5,8.0
8.0,395.5
234.5,8.0
300.5,8.0
8.0,32.5
466.5,7.0
268.5,7.0
7.0,451.5
7.0,396.5
7.0,341.5
7.0,286.5
180.5,7.0
8.0,681.5
8.0,626.5
8.0,571.5
8.0,516.5
8.0,461.5
8.0,98.5
8.0,43.5
42.85,366.5
75.85,366.5
7.0,572.5
141.85,366.5
7.0,517.5
196.85,366.5
7.0,462.5
7.0,407.5
8.5,725.0
7.0,352.5
7.0,44.5
8.85,367.5
136.5,7.0
30.85,367.5
74.85,367.5
8.0,692.5
64.85,366.5
8.0,637.5
118.85,367.5
8.0,582.5
129.85,367.5
147.5,7.0
8.0,219.5
184.85,367.5
8.0,164.5
195.85,367.5
8.0,109.5
323.5,7.0
8.0,54.5
389.5,7.0
58.5,8.0
69.5,8.0
70.5,7.0
80.5,8.0
125.5,7.0
7.0,693.5
124.5,8.0
7.0,638.5
135.5,8.0
7.0,583.5
190.5,8.0
7.0,528.5
201.5,8.0
7.0,473.5
245.5,8.0
256.5,8.0
7.0,110.5
7.0,55.5
388.5,8.0
443.5,8.0
454.5,8.0
8.0,703.5
8.0,648.5
8.0,340.5
8.0,285.5
8.0,230.5
8.0,175.5
8.0,120.5
7.0,704.5
7.0,649.5
7.0,594.5
7.0,231.5
7.0,176.5
7.0,121.5
7.0,66.5
7.0,11.5
53.85,366.5
8.0,406.5
8.0,351.5
8.0,296.5
8.0,241.5
41.85,367.5
52.85,367.5
7.0,715.5
7.0,660.5
97.85,366.5
7.0,297.5
152.85,366.5
7.0,242.5
207.85,366.5
7.0,187.5
15.5,7.0
7.0,132.5
26.5,7.0
81.5,7.0
218.85,366.5
217.85,367.5
411.5,7.0
8.0,527.5
8.0,472.5
85.85,367.5
8.0,417.5
140.85,367.5
8.0,362.5
206.85,367.5
8.0,307.5
14.5,8.0
213.5,7.0
224.5,7.0
279.5,7.0
289.5,8.0
334.5,7.0
345.5,7.0
400.5,7.0
399.5,8.0
455.5,7.0
465.5,8.0
146.5,8.0
7.0,418.5
7.0,363.5
267.5,8.0
7.0,308.5
333.5,8.0
7.0,253.5
8.0,593.5
8.0,538.5
366.5,8.0
8.0,483.5
8.0,428.5
377.5,8.0
8.0,65.5
8.0,10.5
7.0,539.5
7.0,484.5
7.0,429.5
432.5,8.0
7.0,374.5
7.0,319.5
311.5,8.0
8.0,714.5
8.0,659.5
108.85,366.5
8.0,604.5
163.85,366.5
8.0,549.5
174.85,366.5
8.0,494.5
8.0,186.5
229.85,366.5
8.0,131.5
344.5,8.0
8.0,76.5
8.0,21.5
169.5,7.0
63.85,367.5
96.85,367.5
7.0,605.5
86.85,366.5
7.0,550.5
107.85,367.5
7.0,495.5
151.85,367.5
7.0,440.5
162.85,367.5
235.5,7.0
7.0,77.5
290.5,7.0
7.0,22.5
356.5,7.0
410.5,8.0
36.5,8.0
47.5,8.0
37.5,7.0
91.5,8.0
92.5,7.0
102.5,8.0
158.5,7.0
157.5,8.0
168.5,8.0
8.0,670.5
212.5,8.0
8.0,615.5
223.5,8.0
278.5,8.0
8.0,252.5
8.0,197.5
8.0,142.5
8.0,87.5
322.5,8.0
355.5,8.0
421.5,8.0
25.5,8.0
261.85,367.5
7.0,671.5
262.85,366.5
7.0,616.5
7.0,561.5
7.0,506.5
7.0,198.5
7.0,143.5
7.0,88.5
7.0,33.5
8.0,373.5
8.0,318.5
8.0,263.5
9.85,366.5
8.0,208.5
8.0,153.5
20.85,366.5
