x,y
425.52,569.83
15.48,453.98
210.51,721.57
264.02,721.59
288.55,17.94
353.72,58.3
211.5,11.24
406.6,127.0
59.52,142.49
171.02,25.24
448.77,507.04
188.07,716.75
198.62,719.94
352.09,677.18
257.5,366.5
268.5,366.5
463.29,431.42
7.72,376.42
123.9,677.05
366.5,367.5
377.5,367.5
150.44,35.49
369.27,73.92
52.33,579.25
22.22,245.54
9.4,322.42
274.71,719.25
324.57,697.08
95.26,87.25
417.42,589.22
232.3,723.92
438.96,538.58
57.19,589.15
49.08,569.75
373.69,653.58
295.5,712.34
11.27,421.28
382.09,644.96
231.26,724.88
388.5,367.5
342.32,684.21
74.85,618.2
124.11,55.43
296.8,712.88
325.96,697.38
420.94,579.81
167.74,708.28
32.81,203.87
8.74,377.4
93.9,645.06
40.72,549.43
88.52,95.92
21.02,246.29
290.5,366.5
376.53,82.21
12.45,432.21
461.91,442.34
399.5,367.5
307.44,27.11
16.56,267.86
457.29,464.89
399.75,618.27
366.36,661.75
114.47,669.56
367.85,73.86
159.38,702.72
45.6,172.35
93.85,87.4
18.24,474.82
102.31,78.84
141.31,41.67
76.01,113.97
26.43,224.94
253.19,723.15
388.75,636.19
47.76,569.23
9.04,388.39
431.14,559.18
451.54,496.39
12.72,442.25
23.07,496.3
312.5,366.5
80.72,105.09
306.83,708.32
169.69,24.77
421.5,367.5
108.29,70.77
14.33,453.14
82.11,104.84
16.17,464.0
132.54,48.33
375.12,82.09
380.69,645.12
11.34,431.33
333.62,690.89
7.64,366.42
181.07,20.89
323.5,366.5
189.34,716.13
441.21,528.79
199.84,719.23
246.5,366.5
140.96,690.84
10.48,321.5
130.85,684.3
8.52,398.48
327.79,37.83
9.57,399.37
177.76,712.85
278.04,14.61
345.43,51.05
43.46,559.09
396.33,108.65
462.18,432.3
254.29,724.04
190.13,16.56
255.33,11.09
466.63,387.51
334.5,366.5
79.49,627.11
68.85,123.65
345.5,366.5
161.26,30.23
315.19,702.76
394.94,108.38
464.46,420.47
443.5,367.5
454.5,367.5
360.11,669.62
48.64,162.78
401.13,617.96
64.73,132.82
375.1,653.48
191.39,17.21
10.17,420.38
18.67,257.05
151.82,35.8
234.45,10.03
344.02,51.18
92.5,644.9
8.09,344.4
356.5,366.5
17.73,267.06
279.5,366.5
14.68,278.71
308.79,26.67
10.31,410.33
109.71,70.73
245.46,9.22
350.68,677.1
35.66,538.5
169.08,707.83
256.45,10.22
115.89,669.55
395.1,627.18
15.83,277.88
466.12,398.51
405.48,608.91
243.3,724.88
222.42,9.74
285.23,716.15
148.62,697.33
422.27,579.33
367.5,366.5
378.5,366.5
276.82,15.31
400.92,117.59
416.07,589.66
305.5,707.86
20.54,485.59
212.65,12.05
27.08,507.66
456.39,474.91
352.31,58.37
465.5,366.5
465.4,409.5
36.93,539.11
455.21,475.69
7.76,355.41
298.81,21.97
39.43,548.85
223.51,10.64
389.5,366.5
24.29,497.03
245.5,367.5
256.5,367.5
301.5,366.5
265.19,722.39
116.03,62.92
358.69,669.61
454.08,485.67
266.16,12.81
25.85,506.96
11.59,300.51
275.93,719.97
343.73,684.36
297.5,22.5
179.07,712.31
117.44,62.94
70.22,123.3
53.27,152.78
220.25,724.03
393.71,627.45
460.29,453.23
32.14,528.06
27.66,224.25
418.41,146.75
400.5,366.5
465.9,377.49
13.02,289.59
267.5,367.5
106.81,661.64
463.36,421.37
437.68,539.2
433.89,549.51
67.74,608.48
360.25,65.94
100.9,653.52
122.49,677.12
54.61,152.31
132.25,684.16
467.0,366.5
159.9,29.84
411.5,366.5
44.77,559.64
8.64,333.4
33.4,528.71
278.5,367.5
289.5,367.5
62.32,598.89
267.33,12.03
390.05,99.6
460.78,443.19
24.82,234.87
8.64,365.42
36.38,193.45
11.48,310.56
336.78,44.21
29.5,214.37
382.05,90.6
412.28,598.97
9.7,332.47
100.9,78.94
19.42,475.6
41.5,182.55
244.4,10.17
19.86,256.27
13.85,443.11
450.33,497.12
422.5,366.5
87.12,96.13
433.5,366.5
452.89,486.43
17.33,464.81
30.12,518.22
21.73,486.34
429.84,559.72
44.29,172.89
406.85,608.55
300.5,367.5
133.94,48.49
383.45,90.78
326.4,38.11
37.66,192.84
464.33,410.42
139.56,691.05
233.42,9.05
150.0,697.04
407.96,127.36
221.35,723.14
361.67,65.94
465.07,399.46
286.5,716.78
444.5,366.5
387.36,636.4
413.33,136.98
311.5,367.5
322.5,367.5
458.46,464.09
49.97,162.27
426.84,569.32
142.71,41.9
388.65,99.38
466.92,376.51
80.88,627.38
87.23,636.33
209.35,722.37
335.02,691.1
242.26,723.92
200.73,13.52
411.98,136.57
85.83,636.12
442.48,528.15
34.08,203.23
367.77,661.71
69.11,608.83
63.37,133.2
63.68,599.29
58.53,589.58
28.87,517.55
410.5,367.5
455.5,366.5
465.59,388.48
435.18,548.93
318.45,31.97
333.5,367.5
459.15,454.06
445.74,517.63
287.27,18.55
417.07,146.31
335.38,44.41
108.22,661.69
99.49,653.41
74.63,114.27
8.78,354.43
14.15,288.74
410.92,599.36
40.21,183.12
58.18,142.92
317.08,32.33
201.94,14.25
444.5,518.3
344.5,367.5
125.52,55.52
447.54,507.74
12.71,299.64
23.6,235.59
10.39,311.45
158.01,703.09
9.23,409.41
9.13,343.44
179.77,20.33
53.67,579.73
73.47,617.89
8.01,387.43
316.56,703.13
432.5,367.5
402.3,117.91
30.74,213.7
355.5,367.5
