x,y
172.85,366.5
183.85,366.5
7.0,282.5
467.0,294.0
468.0,348.0
8.0,512.5
7.0,403.5
467.0,415.0
468.0,469.0
8.0,633.5
391.85,367.5
314.85,367.5
7.0,524.5
467.0,536.0
468.0,590.0
39.85,367.5
467.0,118.0
468.0,370.0
7.85,366.5
8.0,116.5
7.0,645.5
467.0,657.0
194.85,366.5
467.0,239.0
7.0,7.5
468.0,491.0
467.0,19.0
468.0,73.0
8.0,237.5
7.0,128.5
468.0,612.0
467.0,140.0
468.0,194.0
8.0,358.5
402.85,367.5
413.85,367.5
7.0,667.5
7.0,249.5
467.0,261.0
468.0,315.0
205.85,366.5
216.85,366.5
8.0,479.5
72.85,367.5
83.85,367.5
7.0,370.5
467.0,382.0
468.0,436.0
468.0,216.0
8.0,600.5
424.85,367.5
7.0,491.5
467.0,503.0
468.0,557.0
467.0,85.0
468.0,337.0
8.0,721.5
8.0,83.5
7.0,612.5
467.0,624.0
467.0,206.0
468.0,458.0
468.0,40.0
8.0,622.5
8.0,204.5
7.0,95.5
468.0,579.0
467.0,107.0
468.0,161.0
8.0,325.5
7.0,634.5
7.0,216.5
435.85,367.5
468.0,700.0
467.0,228.0
468.0,282.0
468.0,62.0
8.0,446.5
227.85,366.5
238.85,366.5
249.85,366.5
7.0,337.5
467.0,349.0
468.0,403.0
468.0,183.0
94.85,367.5
105.85,367.5
116.85,367.5
8.0,567.5
7.0,458.5
467.0,470.0
467.0,52.0
468.0,304.0
8.0,688.5
260.85,366.5
271.85,366.5
457.85,367.5
446.85,367.5
8.0,468.5
8.0,50.5
7.0,579.5
467.0,591.0
468.0,425.0
468.0,7.0
8.0,589.5
6.85,367.5
8.0,171.5
17.85,367.5
28.85,367.5
7.0,700.5
467.0,712.0
7.0,480.5
7.0,62.5
468.0,546.0
467.0,74.0
468.0,128.0
8.0,710.5
8.0,292.5
282.85,366.5
7.0,601.5
7.0,183.5
468.0,667.0
467.0,195.0
468.0,249.0
468.0,29.0
8.0,413.5
7.0,722.5
7.0,304.5
467.0,316.0
468.0,150.0
8.0,534.5
8.0,314.5
127.85,367.5
138.85,367.5
149.85,367.5
7.0,425.5
467.0,437.0
468.0,271.0
8.0,655.5
8.0,435.5
8.0,17.5
293.85,366.5
7.0,546.5
304.85,366.5
467.0,558.0
7.0,326.5
468.0,392.0
8.0,556.5
8.0,138.5
467.0,679.0
7.0,447.5
7.0,29.5
468.0,513.0
50.85,367.5
61.85,367.5
467.0,41.0
468.0,95.0
8.0,677.5
226.85,367.5
8.0,259.5
237.85,367.5
7.0,568.5
7.0,150.5
468.0,634.0
467.0,162.0
315.85,366.5
8.0,380.5
7.0,689.5
7.0,271.5
467.0,283.0
468.0,117.0
8.0,501.5
8.0,281.5
7.0,392.5
467.0,404.0
7.0,172.5
468.0,238.0
160.85,367.5
171.85,367.5
8.0,402.5
7.0,513.5
403.85,366.5
467.0,525.0
7.0,293.5
468.0,359.0
326.85,366.5
8.0,523.5
8.0,105.5
467.0,646.0
7.0,414.5
468.0,480.0
467.0,8.0
8.0,644.5
8.0,226.5
7.0,535.5
248.85,367.5
7.0,117.5
468.0,601.0
467.0,129.0
8.0,347.5
8.0,127.5
337.85,366.5
348.85,366.5
7.0,656.5
7.0,238.5
467.0,668.0
468.0,722.0
467.0,250.0
468.0,84.0
8.0,248.5
7.0,359.5
467.0,371.0
7.0,139.5
468.0,205.0
73.85,366.5
84.85,366.5
95.85,366.5
8.0,369.5
182.85,367.5
193.85,367.5
204.85,367.5
467.0,492.0
7.0,260.5
468.0,326.0
436.85,366.5
8.0,490.5
8.0,72.5
292.85,367.5
303.85,367.5
359.85,366.5
467.0,613.0
7.0,381.5
468.0,447.0
8.0,611.5
8.0,193.5
18.85,366.5
7.0,502.5
7.0,84.5
467.0,514.0
468.0,568.0
467.0,96.0
8.0,94.5
7.0,623.5
7.0,205.5
467.0,635.0
468.0,689.0
467.0,217.0
370.85,366.5
468.0,51.0
8.0,215.5
447.85,366.5
458.85,366.5
467.0,338.0
7.0,106.5
468.0,172.0
8.0,336.5
106.85,366.5
117.85,366.5
128.85,366.5
467.0,459.0
7.0,227.5
468.0,711.0
468.0,293.0
215.85,367.5
8.0,457.5
8.0,39.5
467.0,580.0
7.0,348.5
467.0,360.0
468.0,414.0
325.85,367.5
336.85,367.5
8.0,578.5
381.85,366.5
392.85,366.5
8.0,160.5
259.85,367.5
467.0,701.0
7.0,469.5
7.0,51.5
467.0,481.0
468.0,535.0
29.85,366.5
40.85,366.5
467.0,63.0
8.0,699.5
8.0,61.5
7.0,590.5
467.0,602.0
468.0,656.0
467.0,184.0
468.0,18.0
8.0,182.5
7.0,711.5
467.0,723.0
467.0,305.0
7.0,73.5
270.85,367.5
468.0,139.0
347.85,367.5
8.0,303.5
467.0,426.0
7.0,194.5
468.0,678.0
468.0,260.0
51.85,366.5
139.85,366.5
150.85,366.5
8.0,424.5
8.0,6.5
467.0,547.0
7.0,315.5
467.0,327.0
468.0,381.0
8.0,545.5
358.85,367.5
369.85,367.5
414.85,366.5
7.0,436.5
425.85,366.5
7.0,18.5
467.0,448.0
468.0,502.0
467.0,30.0
281.85,367.5
8.0,666.5
8.0,28.5
62.85,366.5
7.0,557.5
467.0,569.0
468.0,623.0
467.0,151.0
161.85,366.5
8.0,149.5
7.0,678.5
467.0,690.0
467.0,272.0
7.0,40.5
468.0,524.0
468.0,106.0
8.0,270.5
380.85,367.5
467.0,393.0
7.0,161.5
468.0,645.0
467.0,173.0
468.0,227.0
8.0,391.5
