x,y
237.62,9.0
238.0,371.5
238.0,316.5
238.0,261.5
238.0,206.5
238.0,151.5
183.38,726.0
194.38,726.0
249.38,726.0
237.0,689.5
237.0,326.5
237.0,271.5
237.0,216.5
237.0,161.5
261.38,727.0
269.62,9.0
280.62,9.0
238.0,492.5
238.0,437.5
238.0,382.5
238.0,327.5
238.0,272.5
214.0,6.0
184.38,727.0
239.38,727.0
250.38,727.0
237.0,447.5
237.0,392.5
237.0,337.5
237.0,282.5
237.0,227.5
238.0,558.5
238.0,503.5
238.0,448.5
238.0,393.5
246.62,6.0
238.0,30.5
290.62,6.0
237.0,513.5
237.0,458.5
237.0,403.5
237.0,348.5
238.0,679.5
238.0,624.5
238.0,569.5
238.0,514.5
238.0,459.5
204.0,9.0
215.0,9.0
238.0,41.5
238.0,96.5
205.38,726.0
237.0,634.5
237.0,579.5
260.38,726.0
237.0,524.5
271.38,726.0
237.0,469.5
237.0,414.5
237.0,106.5
195.38,727.0
237.0,51.5
238.0,690.5
238.0,635.5
238.0,580.5
272.38,727.0
283.38,727.0
238.0,217.5
291.62,9.0
238.0,162.5
238.0,107.5
238.0,52.5
225.0,6.0
237.0,700.5
237.0,645.5
237.0,590.5
237.0,535.5
237.0,172.5
237.0,117.5
237.0,62.5
279.62,6.0
238.0,701.5
238.0,338.5
238.0,283.5
238.0,228.5
238.0,173.5
238.0,118.5
237.0,711.5
237.0,656.5
237.0,293.5
237.0,238.5
237.0,183.5
237.0,128.5
237.0,73.5
216.38,726.0
282.38,726.0
238.0,404.5
238.0,349.5
238.0,294.5
238.0,239.5
228.38,727.0
247.62,9.0
237.0,722.5
237.0,359.5
237.0,304.5
237.0,249.5
237.0,194.5
206.38,727.0
217.38,727.0
238.0,525.5
238.0,470.5
238.0,415.5
238.0,360.5
238.0,305.5
237.0,480.5
237.0,425.5
257.62,6.0
237.0,370.5
268.62,6.0
237.0,315.5
238.0,646.5
238.0,591.5
238.0,536.5
238.0,481.5
238.0,426.5
193.0,9.0
238.0,63.5
237.0,601.5
237.0,546.5
237.0,491.5
226.0,9.0
237.0,436.5
237.0,381.5
237.0,18.5
238.0,712.5
238.0,657.5
238.0,602.5
238.0,547.5
227.38,726.0
238.38,726.0
238.0,184.5
236.62,6.0
238.0,129.5
238.0,74.5
238.0,19.5
237.0,667.5
258.62,9.0
237.0,612.5
237.0,557.5
237.0,502.5
237.0,139.5
237.0,84.5
237.0,29.5
192.0,6.0
203.0,6.0
238.0,723.5
238.0,668.5
238.0,613.5
238.0,250.5
238.0,195.5
238.0,140.5
238.0,85.5
237.0,678.5
237.0,623.5
237.0,568.5
237.0,260.5
237.0,205.5
237.0,150.5
237.0,95.5
237.0,40.5
