x,y
238.0,371.5
238.0,316.5
238.0,261.5
238.0,206.5
238.0,151.5
237.0,6.0
212.29,683.56
126.23,727.94
237.0,326.5
237.0,271.5
237.0,216.5
237.0,161.5
271.62,6.0
238.0,492.5
238.0,437.5
238.0,382.5
11.25,643.67
238.0,327.5
238.0,272.5
214.0,6.0
83.21,720.08
237.0,447.5
237.0,392.5
45.91,697.61
237.0,337.5
63.48,710.64
237.0,282.5
238.0,9.0
237.0,227.5
224.6,666.55
8.8,632.9
159.37,720.93
238.0,558.5
238.0,503.5
238.0,448.5
238.0,393.5
127.19,726.9
238.0,30.5
237.0,513.5
237.0,458.5
237.0,403.5
237.0,348.5
197.03,700.74
261.62,9.0
272.62,9.0
14.74,654.15
238.0,569.5
212.45,684.96
238.0,514.5
238.0,459.5
233.02,646.14
204.0,9.0
215.0,9.0
238.0,41.5
238.0,96.5
116.2,727.83
73.12,715.83
237.0,579.5
137.23,727.07
237.0,524.5
237.0,469.5
237.0,414.5
229.3,656.55
237.0,106.5
237.0,51.5
197.14,699.33
238.0,580.5
188.52,706.07
238.0,217.5
282.62,6.0
238.0,162.5
293.62,6.0
238.0,107.5
238.0,52.5
225.0,6.0
54.6,705.94
179.29,711.95
205.11,693.22
237.0,535.5
237.0,590.5
237.0,172.5
237.0,117.5
237.0,62.5
8.3,620.88
104.38,725.57
237.38,624.53
228.75,655.24
238.0,338.5
238.0,283.5
238.0,228.5
238.0,173.5
19.21,664.23
236.48,623.43
238.0,118.5
9.61,631.75
115.26,726.77
234.93,634.26
237.0,293.5
83.82,721.36
237.0,238.5
237.0,183.5
94.39,724.55
24.62,673.85
237.0,73.5
237.0,128.5
148.85,723.95
238.0,404.5
238.0,349.5
158.74,722.2
188.27,707.46
238.0,239.5
238.0,294.5
15.31,652.85
38.13,689.91
205.09,691.8
237.0,359.5
237.0,304.5
237.0,249.5
237.0,194.5
93.67,723.34
238.0,525.5
238.0,470.5
238.0,415.5
238.0,360.5
238.0,305.5
235.72,635.44
31.12,681.5
24.94,672.47
38.08,691.32
237.0,480.5
237.0,425.5
178.92,713.31
237.0,370.5
237.0,315.5
148.11,725.15
238.0,591.5
238.0,536.5
63.83,712.01
169.04,718.24
238.0,426.5
193.0,9.0
238.0,481.5
238.0,63.5
283.62,9.0
294.62,9.0
19.66,662.89
232.35,644.9
237.0,601.5
237.0,546.5
218.67,674.66
237.0,491.5
226.0,9.0
237.0,436.5
237.0,381.5
237.0,18.5
54.38,704.54
45.99,699.03
238.0,602.5
238.0,547.5
30.93,682.9
238.0,184.5
238.0,129.5
238.0,74.5
238.0,19.5
237.0,95.5
169.55,716.92
237.0,612.5
249.62,6.0
237.0,557.5
260.62,6.0
237.0,502.5
237.0,139.5
105.21,726.71
237.0,84.5
237.0,29.5
192.0,6.0
7.38,621.96
203.0,6.0
11.95,642.44
238.0,613.5
238.0,250.5
238.0,195.5
238.0,140.5
73.6,717.17
238.0,85.5
224.18,665.2
237.0,568.5
237.0,260.5
237.0,205.5
250.62,9.0
237.0,150.5
218.96,676.04
237.0,40.5
138.09,725.95
