x,y
302.73,599.25
406.7,55.01
311.44,605.98
355.13,641.03
8.0,512.5
9.0,337.5
328.79,116.1
250.52,558.88
79.61,316.87
328.64,117.51
67.77,417.59
165.48,248.12
8.0,633.5
9.0,458.5
433.27,700.18
449.01,19.86
215.89,533.37
320.14,612.71
302.91,600.66
53.84,337.49
9.0,579.5
380.94,75.64
19.49,364.99
8.0,116.5
224.59,540.1
122.54,282.5
431.84,33.61
9.0,700.5
424.57,693.45
36.67,351.24
59.25,412.27
8.0,237.5
9.0,62.5
389.53,68.76
88.19,309.99
8.0,358.5
9.0,183.5
137.57,472.82
440.43,26.73
146.27,479.55
146.09,478.15
139.87,267.34
9.0,722.5
8.0,479.5
9.0,304.5
94.06,439.18
217.16,205.47
8.0,600.5
67.95,419.0
9.0,425.5
388.12,68.6
311.46,131.26
172.38,499.73
241.82,552.16
354.95,639.62
28.24,356.71
8.0,721.5
294.29,145.01
9.0,546.5
24.44,385.35
8.0,83.5
276.81,580.47
277.11,158.75
337.72,627.57
440.27,28.14
9.0,667.5
8.0,622.5
105.52,294.84
8.0,204.5
9.0,29.5
259.94,172.5
9.0,568.5
8.0,325.5
346.43,634.3
9.0,150.5
423.25,40.48
413.88,47.98
128.87,466.09
303.03,136.73
9.0,689.5
8.0,446.5
139.72,268.75
9.0,271.5
242.0,553.56
346.25,632.89
370.95,82.35
233.29,546.83
302.87,138.13
19.65,363.58
8.0,567.5
9.0,392.5
398.46,673.26
294.21,593.93
113.95,289.37
379.53,75.48
102.76,445.91
174.22,239.84
50.37,404.14
8.0,688.5
9.0,513.5
182.65,234.38
8.0,468.5
8.0,50.5
459.56,721.76
131.28,274.22
260.09,171.1
154.97,486.28
24.26,383.95
96.78,303.12
320.05,124.38
9.0,634.5
8.0,589.5
9.0,414.5
8.0,171.5
311.62,129.85
8.0,710.5
9.0,535.5
111.28,451.23
8.0,292.5
9.0,117.5
320.2,122.98
10.91,371.87
251.35,179.38
199.98,219.22
9.0,656.5
381.06,659.81
8.0,413.5
9.0,238.5
267.92,572.34
381.24,661.21
54.0,336.09
398.64,674.67
8.0,534.5
9.0,359.5
268.68,164.22
8.0,314.5
396.71,61.73
459.38,720.36
8.0,655.5
119.98,457.96
9.0,480.5
8.0,435.5
9.0,260.5
8.0,17.5
389.94,667.94
181.08,506.46
9.0,601.5
8.0,556.5
9.0,381.5
8.0,138.5
189.78,513.19
431.68,35.01
45.26,344.37
8.0,677.5
9.0,502.5
8.0,259.5
9.0,84.5
268.1,573.74
215.71,531.97
9.0,623.5
8.0,380.5
9.0,205.5
33.14,392.08
163.5,491.6
259.4,567.01
329.02,620.84
363.77,89.38
234.18,193.13
62.59,329.21
8.0,501.5
9.0,326.5
8.0,281.5
311.62,607.38
450.85,715.04
114.11,287.96
9.0,447.5
8.0,402.5
189.6,511.79
9.0,227.5
79.76,315.46
137.39,471.42
450.67,713.63
8.0,523.5
9.0,348.5
8.0,105.5
59.07,410.86
36.82,349.83
208.41,213.75
423.1,41.89
415.29,48.14
276.63,579.07
8.0,644.5
9.0,469.5
11.06,370.46
8.0,226.5
233.12,545.43
9.0,51.5
224.41,538.7
407.16,679.99
9.0,590.5
15.74,378.62
8.0,347.5
9.0,172.5
8.0,127.5
285.33,585.8
191.24,227.5
9.0,711.5
320.32,614.11
9.0,293.5
225.74,198.6
8.0,248.5
466.19,6.11
9.0,73.5
251.51,177.97
362.36,89.23
345.97,102.35
207.19,526.65
242.76,186.25
76.47,424.32
354.4,96.88
8.0,369.5
9.0,194.5
354.55,95.48
154.79,484.87
180.9,505.06
457.44,14.39
8.0,490.5
9.0,315.5
8.0,72.5
157.05,253.59
448.86,21.26
71.17,322.34
76.65,425.72
208.57,212.34
8.0,611.5
9.0,436.5
8.0,193.5
9.0,18.5
242.92,184.85
372.35,82.51
174.06,241.25
294.03,592.53
9.0,557.5
9.0,139.5
8.0,94.5
328.84,619.44
120.16,459.36
372.53,654.48
122.7,281.09
466.03,7.52
9.0,678.5
156.89,255.0
337.54,626.17
8.0,215.5
9.0,40.5
294.44,143.6
424.75,694.85
128.69,464.69
441.97,706.9
225.59,200.0
71.02,323.74
148.3,261.87
8.0,336.5
9.0,161.5
93.88,437.78
8.0,457.5
9.0,282.5
8.0,39.5
198.31,518.51
259.22,565.61
105.37,296.25
50.54,405.54
8.0,578.5
9.0,403.5
8.0,160.5
442.15,708.31
191.4,226.09
345.81,103.76
62.43,330.62
8.0,699.5
9.0,524.5
102.58,444.5
9.0,106.5
8.0,61.5
285.7,151.88
207.01,525.24
337.22,110.63
198.49,519.92
85.17,431.05
9.0,645.5
8.0,182.5
88.35,308.59
9.0,7.5
433.45,701.58
250.7,560.29
172.2,498.33
416.04,688.12
8.0,303.5
9.0,128.5
337.38,109.23
8.0,424.5
182.81,232.97
9.0,249.5
8.0,6.5
41.84,398.81
199.83,220.63
405.3,54.86
148.46,260.47
457.6,12.98
32.96,390.68
277.27,157.35
8.0,545.5
9.0,370.5
268.52,165.63
363.83,647.75
285.51,587.2
372.35,653.08
8.0,666.5
234.33,191.72
9.0,491.5
8.0,28.5
9.0,612.5
363.65,646.35
8.0,149.5
389.76,666.54
407.34,681.39
96.94,301.71
28.08,358.12
131.13,275.62
217.0,206.88
165.63,246.72
163.68,493.0
111.46,452.64
8.0,270.5
9.0,95.5
285.86,150.47
415.87,686.72
45.41,342.96
398.11,61.89
41.66,397.41
85.35,432.45
15.56,377.22
8.0,391.5
9.0,216.5
