x,y
7.0,72.5
7.0,17.5
8.0,711.5
8.0,656.5
8.0,601.5
8.0,238.5
8.0,183.5
8.0,128.5
8.0,73.5
8.0,18.5
7.0,721.5
7.0,666.5
7.0,611.5
7.0,556.5
7.0,193.5
7.0,138.5
7.0,83.5
7.0,28.5
102.5,725.0
157.5,725.0
168.5,725.0
212.5,725.0
8.0,722.5
223.5,725.0
8.0,667.5
278.5,725.0
289.5,725.0
8.0,304.5
344.5,725.0
8.0,249.5
8.0,194.5
8.0,139.5
25.5,725.0
146.5,725.0
290.5,726.0
356.5,726.0
411.5,726.0
7.0,677.5
7.0,622.5
7.0,314.5
7.0,259.5
7.0,204.5
7.0,149.5
37.5,726.0
7.0,94.5
92.5,726.0
158.5,726.0
213.5,726.0
224.5,726.0
279.5,726.0
8.0,425.5
8.0,370.5
8.0,315.5
8.0,260.5
7.0,380.5
7.0,325.5
7.0,270.5
7.0,215.5
8.0,546.5
8.0,491.5
8.0,436.5
8.0,381.5
8.0,326.5
7.0,501.5
7.0,446.5
366.5,725.0
7.0,391.5
377.5,725.0
7.0,336.5
36.5,725.0
7.0,281.5
47.5,725.0
91.5,725.0
432.5,725.0
8.0,612.5
8.0,557.5
8.0,502.5
179.5,725.0
8.0,447.5
234.5,725.0
300.5,725.0
8.0,84.5
48.5,726.0
8.0,29.5
59.5,726.0
103.5,726.0
114.5,726.0
169.5,726.0
180.5,726.0
235.5,726.0
355.5,725.0
421.5,725.0
7.0,567.5
312.5,726.0
7.0,512.5
367.5,726.0
7.0,457.5
378.5,726.0
7.0,402.5
422.5,726.0
433.5,726.0
7.0,39.5
8.0,678.5
8.0,623.5
8.0,568.5
8.0,513.5
8.0,205.5
8.0,150.5
8.0,95.5
8.0,40.5
7.0,688.5
7.0,633.5
7.0,578.5
7.0,523.5
7.0,160.5
7.0,105.5
7.0,50.5
8.0,689.5
8.0,634.5
8.0,271.5
8.0,216.5
8.0,161.5
8.0,106.5
124.5,725.0
135.5,725.0
190.5,725.0
201.5,725.0
245.5,725.0
256.5,725.0
311.5,725.0
322.5,725.0
7.0,699.5
7.0,644.5
7.0,589.5
7.0,226.5
7.0,171.5
7.0,116.5
7.0,61.5
443.5,725.0
454.5,725.0
113.5,725.0
257.5,726.0
268.5,726.0
323.5,726.0
389.5,726.0
8.0,392.5
444.5,726.0
8.0,337.5
8.0,282.5
8.0,227.5
8.0,172.5
70.5,726.0
125.5,726.0
191.5,726.0
246.5,726.0
301.5,726.0
7.0,710.5
7.0,347.5
7.0,292.5
7.0,237.5
7.0,182.5
7.0,127.5
8.0,458.5
8.0,403.5
8.0,348.5
8.0,293.5
7.0,468.5
7.0,413.5
7.0,358.5
7.0,303.5
7.0,248.5
8.0,579.5
8.0,524.5
8.0,469.5
8.0,414.5
8.0,359.5
8.0,51.5
399.5,725.0
14.5,725.0
410.5,725.0
58.5,725.0
69.5,725.0
80.5,725.0
465.5,725.0
7.0,534.5
267.5,725.0
7.0,479.5
15.5,726.0
7.0,424.5
26.5,726.0
7.0,369.5
81.5,726.0
136.5,726.0
7.0,6.5
147.5,726.0
202.5,726.0
333.5,725.0
388.5,725.0
8.0,700.5
8.0,645.5
8.0,590.5
8.0,535.5
8.0,480.5
334.5,726.0
345.5,726.0
8.0,117.5
400.5,726.0
8.0,62.5
455.5,726.0
8.0,7.5
466.5,726.0
7.0,655.5
7.0,600.5
7.0,545.5
7.0,490.5
7.0,435.5
