x,y
8.0,638.5
446.84,39.98
467.16,506.0
468.16,331.0
467.16,88.0
412.32,96.24
206.32,331.51
7.0,538.5
34.08,48.86
166.38,264.5
8.0,539.5
8.0,121.5
467.16,627.0
468.16,452.0
467.16,209.0
468.16,34.0
423.83,77.48
7.0,659.5
360.55,180.62
458.34,21.23
377.81,152.49
7.0,21.5
8.0,660.5
8.0,242.5
468.16,573.0
62.84,95.74
467.16,330.0
468.16,155.0
467.16,110.0
195.15,311.38
337.87,219.5
7.0,142.5
8.0,363.5
468.16,694.0
468.16,276.0
467.16,231.0
468.16,56.0
91.27,143.99
7.0,263.5
8.0,484.5
467.16,352.0
468.16,177.0
263.08,341.39
7.0,384.5
8.0,605.5
114.28,181.5
467.16,473.0
468.16,298.0
467.16,55.0
447.17,41.36
33.74,50.23
7.0,505.5
126.11,198.87
8.0,726.5
452.59,30.6
8.0,506.5
39.83,58.23
8.0,88.5
467.16,594.0
468.16,419.0
467.16,176.0
7.0,626.5
8.0,627.5
68.59,105.11
8.0,209.5
467.16,715.0
468.16,540.0
468.16,122.0
467.16,77.0
7.0,109.5
8.0,330.5
274.59,322.63
468.16,661.0
251.58,360.14
467.16,198.0
468.16,23.0
343.62,210.12
401.15,116.36
7.0,230.5
355.13,191.37
8.0,451.5
148.8,237.75
467.16,319.0
400.82,114.99
468.16,144.0
441.41,50.73
7.0,351.5
418.07,86.86
366.3,171.24
62.51,97.11
8.0,572.5
8.0,352.5
467.16,440.0
468.16,265.0
467.16,22.0
257.0,349.39
7.0,472.5
395.39,125.74
125.79,200.25
8.0,473.5
389.64,135.12
8.0,55.5
467.16,561.0
468.16,386.0
274.26,321.26
7.0,593.5
217.83,350.26
68.26,106.49
8.0,594.5
171.81,275.25
8.0,176.5
467.16,682.0
468.16,507.0
137.62,217.62
467.16,44.0
7.0,714.5
194.82,312.76
7.0,76.5
154.88,245.75
8.0,715.5
8.0,297.5
468.16,628.0
467.16,165.0
7.0,615.5
262.76,340.01
7.0,197.5
467.16,12.0
27.99,40.86
8.0,418.5
8.0,198.5
114.61,180.12
212.4,339.51
467.16,286.0
468.16,111.0
383.56,143.12
343.29,208.75
7.0,318.5
229.66,367.64
8.0,319.5
200.57,322.13
406.57,105.61
467.16,407.0
468.16,232.0
80.09,123.86
7.0,439.5
245.5,368.14
177.89,283.25
183.64,292.63
8.0,440.5
8.0,22.5
467.16,528.0
468.16,353.0
320.61,247.63
7.0,560.5
8.0,561.5
8.0,143.5
467.16,649.0
468.16,474.0
235.41,377.01
286.09,303.88
206.65,330.13
7.0,681.5
57.08,86.36
7.0,461.5
7.0,43.5
8.0,682.5
8.0,264.5
468.16,595.0
8.0,44.5
467.16,132.0
28.32,39.48
154.55,247.13
7.0,582.5
360.88,182.0
7.0,164.5
435.66,60.11
435.33,58.73
108.53,172.12
8.0,385.5
468.16,716.0
16.49,22.1
8.0,165.5
467.16,253.0
468.16,78.0
7.0,703.5
7.0,285.5
91.6,142.62
331.79,227.5
8.0,286.5
395.06,124.36
467.16,374.0
74.01,115.86
468.16,199.0
349.04,199.37
7.0,406.5
291.85,294.51
297.27,283.75
8.0,407.5
149.12,236.38
467.16,495.0
468.16,320.0
7.0,527.5
7.0,307.5
10.74,12.73
257.33,350.76
8.0,528.5
137.29,219.0
8.0,110.5
467.16,616.0
51.0,78.36
468.16,441.0
245.83,369.51
7.0,648.5
7.0,428.5
240.08,378.89
7.0,10.5
441.08,49.36
8.0,649.5
8.0,231.5
468.16,562.0
8.0,11.5
280.01,311.88
467.16,99.0
326.03,236.88
7.0,549.5
7.0,131.5
166.05,265.88
183.31,294.01
468.16,683.0
8.0,132.5
464.09,11.85
143.37,227.0
467.16,638.0
467.16,220.0
468.16,45.0
7.0,670.5
326.36,238.25
7.0,252.5
8.0,253.5
468.16,584.0
467.16,341.0
468.16,166.0
268.51,330.63
7.0,373.5
337.54,218.12
8.0,374.5
468.16,705.0
467.16,462.0
468.16,287.0
200.9,320.76
22.24,31.48
7.0,494.5
7.0,274.5
297.6,285.13
418.4,88.24
79.77,125.24
8.0,495.5
8.0,77.5
467.16,583.0
309.11,266.38
468.16,408.0
120.03,190.87
212.07,340.89
7.0,395.5
172.13,273.88
189.39,302.01
8.0,616.5
11.06,11.35
314.53,255.63
467.16,704.0
468.16,529.0
429.58,68.11
383.89,144.49
467.16,66.0
7.0,516.5
7.0,98.5
235.08,378.39
468.16,650.0
8.0,99.5
467.16,605.0
102.77,162.74
467.16,187.0
97.02,153.37
223.91,358.26
7.0,637.5
45.58,67.61
7.0,219.5
314.86,257.0
189.06,303.38
8.0,220.5
467.16,726.0
468.16,551.0
467.16,308.0
468.16,133.0
354.79,190.0
143.04,228.37
7.0,340.5
7.0,120.5
8.0,341.5
468.16,672.0
467.16,429.0
468.16,254.0
7.0,241.5
103.11,161.37
8.0,462.5
467.16,550.0
468.16,375.0
7.0,362.5
468.16,11.0
8.0,583.5
429.91,69.48
22.57,30.1
467.16,671.0
218.16,348.89
468.16,496.0
464.42,13.23
131.87,208.25
467.16,451.0
424.16,78.86
285.77,302.51
467.16,33.0
308.77,265.0
7.0,483.5
7.0,65.5
8.0,704.5
320.28,246.25
74.34,114.49
468.16,617.0
332.11,228.87
8.0,66.5
467.16,572.0
468.16,397.0
39.5,59.61
467.16,154.0
85.85,133.24
7.0,604.5
7.0,186.5
280.34,313.26
108.86,170.74
8.0,187.5
467.16,693.0
468.16,518.0
467.16,275.0
468.16,100.0
7.0,725.5
51.33,76.98
7.0,87.5
406.9,106.99
8.0,308.5
468.16,639.0
467.16,396.0
303.02,274.38
468.16,221.0
160.63,255.13
372.38,163.24
378.13,153.87
7.0,208.5
8.0,429.5
467.16,517.0
468.16,342.0
467.16,297.0
458.67,22.6
7.0,329.5
8.0,550.5
468.16,463.0
467.16,418.0
468.16,243.0
7.0,450.5
303.35,275.75
7.0,32.5
239.74,377.51
8.0,671.5
8.0,33.5
467.16,539.0
251.25,358.76
468.16,364.0
467.16,121.0
7.0,571.5
7.0,153.5
97.35,151.99
8.0,154.5
467.16,660.0
268.84,332.01
372.05,161.87
467.16,242.0
468.16,485.0
389.31,133.74
468.16,67.0
45.25,68.98
7.0,692.5
7.0,54.5
160.3,256.5
8.0,693.5
223.58,359.64
16.82,20.73
8.0,275.5
468.16,606.0
467.16,363.0
349.37,200.75
468.16,188.0
467.16,143.0
85.52,134.62
291.52,293.13
7.0,175.5
412.65,97.61
8.0,396.5
366.63,172.62
468.16,727.0
452.92,31.98
467.16,484.0
177.56,284.63
468.16,309.0
467.16,264.0
468.16,89.0
131.54,209.62
7.0,296.5
8.0,517.5
468.16,430.0
467.16,385.0
468.16,210.0
229.33,369.01
120.36,189.5
7.0,417.5
56.75,87.74
