x,y
8.0,638.5
468.0,724.22
468.0,218.22
7.0,538.5
373.67,578.12
467.0,261.22
8.0,539.5
8.0,121.5
7.0,659.5
467.0,382.22
7.0,21.5
8.0,660.5
8.0,242.5
243.12,374.35
177.85,272.47
467.0,503.22
468.0,328.22
7.0,142.5
112.27,171.96
8.0,363.5
142.25,216.89
225.32,346.56
467.0,624.22
467.0,118.22
468.0,449.22
7.0,263.5
195.65,300.25
302.46,466.97
8.0,484.5
29.5,40.91
467.0,239.22
468.0,570.22
468.0,64.22
7.0,384.5
444.58,690.64
8.0,605.5
160.05,244.68
94.47,144.18
468.0,691.22
468.0,185.22
7.0,505.5
236.89,366.47
8.0,726.5
76.97,115.01
8.0,506.5
8.0,88.5
278.73,429.92
242.82,375.73
7.0,626.5
467.0,349.22
337.76,523.92
361.8,559.59
8.0,627.5
8.0,209.5
201.58,309.51
467.0,470.22
468.0,295.22
7.0,109.5
64.8,97.87
8.0,330.5
100.71,152.06
338.07,522.54
467.0,591.22
467.0,85.22
468.0,416.22
7.0,230.5
225.02,347.94
290.59,448.45
8.0,451.5
100.4,153.44
11.39,14.51
467.0,712.22
467.0,206.22
468.0,537.22
468.0,31.22
7.0,351.5
213.45,328.04
8.0,572.5
8.0,352.5
148.18,226.15
314.03,486.88
468.0,658.22
468.0,152.22
7.0,472.5
231.25,355.83
308.09,477.61
88.84,133.53
177.55,273.85
8.0,473.5
432.71,672.12
8.0,55.5
266.86,411.4
7.0,593.5
467.0,316.22
8.0,594.5
8.0,176.5
450.51,699.91
7.0,714.5
130.38,198.37
468.0,680.22
467.0,437.22
468.0,262.22
7.0,76.5
118.51,179.84
17.33,23.77
8.0,715.5
59.17,87.22
8.0,297.5
136.31,207.63
421.14,652.21
467.0,558.22
7.0,615.5
467.0,52.22
468.0,383.22
7.0,197.5
403.34,624.43
47.3,68.7
8.0,418.5
8.0,198.5
379.3,588.76
467.0,679.22
467.0,173.22
468.0,504.22
7.0,318.5
8.0,319.5
302.16,468.35
468.0,625.22
468.0,119.22
7.0,439.5
344.0,531.81
467.0,8.22
8.0,440.5
8.0,22.5
272.79,420.66
373.37,579.5
195.35,301.63
