x,y
244.32,725.23
250.92,7.58
40.61,550.83
36.8,540.52
7.54,389.91
10.85,422.75
18.46,259.67
67.38,126.14
20.74,248.92
314.07,28.29
132.34,685.44
341.23,45.13
461.52,285.59
28.01,216.72
218.04,9.3
52.15,155.35
7.95,334.89
218.91,8.18
349.83,53.55
467.4,400.7
306.96,709.91
221.42,724.49
466.46,399.64
228.94,8.26
448.96,221.85
14.33,456.58
283.28,14.0
437.59,189.8
294.25,18.94
466.43,319.25
457.85,263.92
63.27,602.01
31.24,206.19
15.62,269.31
7.07,367.9
332.38,38.56
10.79,301.98
368.02,662.12
115.96,670.84
468.24,352.22
23.24,238.22
26.19,510.32
129.7,50.1
69.11,610.19
16.42,270.47
442.62,528.98
457.36,477.05
132.49,686.85
12.65,445.7
121.45,57.33
435.31,549.71
450.61,231.76
9.15,401.84
365.69,67.33
445.89,518.5
393.3,102.82
229.88,7.21
33.25,530.13
399.71,110.56
190.05,718.69
26.88,509.09
20.74,488.99
72.72,115.34
156.51,31.09
169.16,709.11
189.42,717.42
421.36,148.91
323.19,32.47
85.26,98.47
365.66,68.75
29.27,520.89
435.0,180.09
441.22,200.17
199.92,720.54
141.04,692.12
467.4,362.22
8.67,323.97
439.7,540.67
373.06,76.85
380.28,83.84
8.9,335.94
382.45,646.84
466.81,340.27
422.39,580.03
375.43,655.33
417.98,591.23
262.68,10.09
123.98,678.34
395.52,629.11
36.19,541.8
368.07,663.53
53.61,581.11
401.59,619.91
9.95,412.8
464.14,297.35
323.51,33.85
74.55,620.93
176.53,19.8
49.01,571.13
464.75,421.56
296.91,714.44
80.91,628.71
207.28,11.13
425.56,160.19
150.08,698.32
465.72,410.61
468.3,378.7
467.25,330.17
463.02,296.48
452.44,498.52
453.26,242.43
141.26,693.51
357.88,59.56
169.62,710.44
293.69,17.65
460.96,275.56
91.66,88.28
15.15,455.44
389.15,638.09
232.37,725.28
417.54,589.88
68.76,611.56
426.05,158.87
7.15,356.91
78.72,106.11
382.29,645.43
67.02,124.77
18.37,478.23
467.32,377.68
159.84,705.36
32.61,531.39
8.13,357.91
431.81,561.23
326.41,697.66
14.61,281.31
467.21,351.25
456.86,253.92
17.03,466.26
297.45,713.14
415.96,140.43
43.76,174.57
93.79,647.78
454.27,486.62
261.86,8.94
56.95,145.47
466.19,329.29
108.24,664.41
8.07,368.9
56.5,144.12
462.66,286.44
467.0,388.67
459.02,264.72
29.94,519.65
422.86,581.36
124.06,679.75
401.28,618.53
53.15,582.44
40.04,552.12
73.04,116.72
375.32,653.92
210.59,722.9
395.26,627.72
19.98,247.73
460.53,454.25
13.03,292.19
317.07,703.4
429.95,170.27
467.85,341.22
373.15,75.44
405.23,121.26
98.62,79.74
388.93,636.69
465.65,422.65
303.82,21.97
42.46,175.12
465.29,307.29
25.98,227.58
51.67,154.02
451.83,232.48
426.96,570.04
352.33,678.95
462.16,443.38
357.91,60.97
465.35,318.33
467.96,389.67
156.87,29.72
468.41,363.21
463.57,432.48
138.29,43.29
8.22,379.88
8.09,400.9
360.37,671.41
445.85,211.29
273.39,12.3
386.88,93.91
438.87,190.4
444.6,210.63
62.02,135.72
179.15,713.6
23.34,499.68
12.17,291.06
406.99,609.15
405.57,119.89
435.88,551.0
265.26,723.85
17.68,258.5
93.95,646.38
38.46,185.39
455.67,253.15
166.11,25.8
461.35,455.4
48.51,572.45
87.27,637.66
47.12,164.05
266.06,722.68
307.41,708.57
380.13,85.25
80.65,630.1
196.65,13.73
200.64,721.75
272.66,11.09
466.63,411.68
463.01,444.51
34.72,195.75
254.36,725.46
8.41,346.92
458.67,465.08
283.94,15.26
87.06,639.06
416.38,139.08
433.7,179.52
74.86,619.54
78.99,107.49
10.53,314.02
276.72,720.23
464.44,433.59
197.34,12.5
32.5,205.55
47.64,165.37
108.29,663.0
9.6,324.98
387.08,92.51
58.06,592.3
286.58,718.3
186.81,15.79
332.62,39.95
449.62,509.16
105.97,72.89
11.67,303.09
399.42,111.94
179.7,714.9
313.67,26.93
431.27,559.93
341.4,46.53
44.14,562.34
443.26,530.25
61.62,134.37
105.91,71.47
147.51,35.55
459.8,274.74
447.73,221.16
343.94,686.09
467.42,366.69
410.74,130.76
240.89,8.03
121.51,55.92
468.42,367.69
29.25,216.05
25.28,226.35
455.02,487.81
186.19,17.07
91.84,89.68
448.92,507.93
233.34,726.31
63.66,600.65
412.41,599.6
287.21,717.03
100.85,656.24
211.4,724.06
451.71,497.3
464.4,308.39
39.75,184.8
335.21,692.81
115.98,672.26
7.44,345.89
176.01,21.11
24.07,498.47
159.46,704.0
456.58,475.87
166.55,24.45
222.31,725.59
344.09,684.69
459.47,466.25
8.87,411.89
352.41,677.54
138.5,41.89
454.46,243.17
11.19,434.79
36.0,195.13
19.14,477.05
16.23,467.43
21.49,487.79
150.39,699.7
326.12,699.05
129.83,48.69
13.5,444.57
100.95,654.83
446.56,519.74
420.9,150.24
85.03,97.08
147.23,36.94
255.24,724.35
427.47,571.35
58.49,590.95
208.06,9.95
251.82,8.66
276.01,721.46
243.37,726.27
7.2,378.91
8.58,390.86
360.38,670.0
239.91,7.02
22.51,237.01
407.34,610.52
442.48,200.8
393.55,101.42
335.42,691.41
98.74,81.15
412.8,600.95
411.12,129.4
13.78,280.17
316.7,704.76
44.68,561.04
349.73,52.14
430.48,168.96
9.62,312.93
9.96,423.85
12.06,433.67
439.09,539.39
304.3,23.3
