x,y
428.87,170.43
419.75,150.38
454.98,477.34
38.14,186.28
415.93,591.35
438.09,542.14
7.29,337.42
439.61,201.64
330.78,40.03
11.89,446.04
19.13,490.46
5.54,358.38
432.09,180.99
379.3,86.09
31.0,532.86
241.76,727.75
454.07,254.62
62.05,602.12
466.25,342.69
275.11,721.71
419.29,151.71
155.26,31.19
410.0,131.75
242.71,726.71
373.71,655.39
458.19,276.21
450.83,499.99
465.2,341.74
253.63,725.83
7.26,413.36
128.22,50.16
446.12,222.63
28.33,521.12
21.73,501.16
8.34,414.27
52.01,582.58
185.2,17.27
174.92,21.27
36.85,186.86
230.76,726.75
441.01,530.46
90.05,89.75
321.58,33.95
464.04,424.12
447.35,223.32
42.15,176.05
217.3,9.65
77.11,107.58
122.37,679.81
305.35,711.39
448.01,510.63
61.66,603.48
247.36,507.06
18.37,249.2
56.45,593.77
263.65,725.32
261.08,11.56
411.2,602.43
295.84,714.61
208.99,724.37
463.68,308.76
60.41,137.2
97.01,81.21
106.68,664.47
399.67,620.0
187.81,718.89
315.46,704.87
7.07,325.44
55.34,146.94
45.51,165.52
24.37,229.05
429.66,561.4
51.54,583.92
455.75,478.53
425.87,572.83
8.35,425.32
99.34,656.3
228.28,8.68
12.17,281.64
464.58,330.77
13.0,282.79
460.55,444.85
10.46,435.15
424.45,160.34
92.34,647.85
158.24,706.83
148.48,699.79
315.09,706.24
264.45,724.15
119.9,57.39
104.3,72.95
8.92,315.5
33.12,197.22
177.54,715.07
50.07,155.5
216.44,10.77
421.25,582.83
364.08,68.81
83.65,99.95
79.04,631.57
43.07,562.51
455.25,255.39
164.94,25.92
250.21,10.14
380.68,646.91
130.73,686.92
458.92,455.72
16.07,259.97
466.8,364.68
12.72,458.06
27.67,522.36
348.12,53.61
195.74,13.97
7.99,326.45
398.11,112.03
393.09,630.02
461.05,287.91
461.4,445.98
387.54,639.56
281.68,15.48
27.64,217.52
16.86,261.15
410.8,601.07
31.64,531.6
9.25,424.22
425.36,571.51
164.5,27.27
56.89,592.42
128.09,51.57
73.25,621.02
295.3,715.91
5.93,391.38
72.94,622.4
444.28,519.97
42.53,563.82
466.81,369.16
5.84,347.36
449.26,234.2
23.67,227.82
106.64,665.88
6.35,336.36
9.18,303.46
416.37,592.7
136.69,44.76
104.36,74.36
321.9,35.32
199.03,723.22
433.39,181.56
7.55,403.31
342.48,686.16
465.81,368.16
433.34,552.12
350.72,680.42
178.09,716.37
99.24,657.71
114.37,673.73
46.9,573.93
6.52,359.38
10.06,304.57
46.03,166.84
16.76,479.7
39.0,552.3
465.79,402.17
373.82,656.8
260.25,10.41
459.75,456.87
312.46,29.76
451.65,243.9
339.01,47.39
434.63,551.54
423.95,161.66
282.33,16.73
397.81,113.41
83.42,98.55
364.05,70.22
122.45,681.22
6.46,370.37
405.38,610.62
25.27,510.56
157.86,705.47
206.45,11.42
19.88,489.26
10.56,292.54
465.71,379.15
444.95,521.21
205.67,12.6
377.9,85.95
350.8,679.01
9.58,436.26
333.6,694.28
356.31,62.44
136.89,43.36
414.35,141.9
457.06,466.55
14.82,271.95
148.78,701.17
459.92,287.06
449.97,232.98
405.74,611.99
5.59,380.38
65.77,127.61
145.9,37.02
6.97,392.33
22.46,499.94
324.51,700.52
13.54,456.91
67.15,613.03
340.41,47.22
464.86,401.11
356.27,61.03
139.66,694.99
430.2,562.7
456.25,265.39
465.64,331.64
312.06,28.4
457.87,467.72
40.85,176.6
6.61,381.35
71.43,118.19
414.78,140.55
38.43,553.59
90.23,91.16
14.62,468.9
465.39,390.14
403.62,122.73
92.18,649.25
464.11,412.08
11.42,293.66
391.7,104.29
385.47,93.98
403.96,121.36
465.03,413.16
462.79,309.86
5.46,369.38
11.04,447.17
19.13,250.39
21.63,239.69
450.11,498.78
358.78,671.47
271.05,12.56
26.4,218.19
399.98,621.38
463.14,423.03
35.19,542.0
442.99,212.1
380.84,648.31
333.81,692.88
79.3,630.18
54.9,145.6
219.82,725.96
231.73,727.79
188.45,720.16
220.71,727.06
184.59,18.54
85.66,639.13
97.13,82.62
466.63,353.69
271.79,13.77
358.76,672.89
408.64,131.36
119.84,58.8
77.39,108.97
452.66,488.09
331.02,41.42
284.98,719.77
466.35,391.14
371.54,76.91
457.41,266.19
20.9,238.48
145.63,38.41
292.64,20.41
34.39,196.6
440.88,202.27
130.88,688.32
441.65,531.72
462.83,435.07
428.34,171.74
274.4,722.93
292.08,19.12
8.02,314.41
167.55,710.58
67.5,611.66
437.48,540.86
168.01,711.92
24.58,511.79
324.81,699.13
114.35,672.32
139.43,693.59
209.79,725.53
17.54,478.52
60.01,135.84
227.34,9.73
463.75,319.81
447.32,509.41
85.45,640.53
6.8,348.4
464.83,320.72
385.27,95.38
247.85,506.15
453.41,489.28
437.26,191.87
391.94,102.9
239.28,9.5
461.42,297.95
30.89,207.02
154.9,32.56
459.35,277.03
50.55,156.83
174.4,22.58
29.63,207.67
249.31,9.05
302.7,24.77
305.8,710.05
14.01,270.79
302.22,23.44
461.96,433.95
348.22,55.02
462.53,298.82
238.3,8.49
465.6,352.72
252.75,726.93
47.4,572.61
394.48,629.75
195.04,15.2
285.61,718.51
65.41,126.24
444.24,212.76
465.8,363.7
371.45,78.32
198.31,722.01
366.41,663.59
435.98,191.27
34.59,543.27
6.49,402.38
466.69,380.17
420.78,581.5
452.86,244.64
366.46,665.0
71.11,116.81
342.34,687.56
387.32,638.17
15.42,467.73
