x,y
379.94,337.66
7.0,682.5
459.45,137.55
7.0,264.5
297.78,383.45
331.92,13.35
463.63,214.58
8.0,274.5
463.19,718.89
103.5,7.0
114.5,7.0
341.57,472.25
7.0,385.5
191.5,7.0
347.77,482.56
7.0,165.5
77.92,363.0
342.9,472.7
8.0,395.5
341.26,356.08
289.5,7.0
299.46,8.33
7.0,286.5
8.0,516.5
308.85,403.64
8.0,98.5
131.92,364.0
142.92,364.0
333.14,12.63
466.17,202.82
187.92,363.0
370.75,531.44
7.0,407.5
202.5,7.0
8.0,637.5
8.0,219.5
58.5,8.0
69.5,8.0
80.5,8.0
125.5,7.0
451.21,256.55
7.0,528.5
385.35,561.04
7.0,110.5
350.4,351.91
397.97,325.23
8.0,340.5
88.92,363.0
464.53,719.34
8.0,120.5
7.0,649.5
7.0,231.5
381.82,551.62
198.92,363.0
209.92,363.0
7.0,11.5
313.71,413.5
8.0,241.5
408.42,54.63
449.03,107.36
406.38,318.2
456.17,127.09
361.85,348.28
7.0,132.5
448.59,689.29
447.84,266.04
342.47,16.35
462.07,148.2
213.5,7.0
224.5,7.0
8.0,362.5
14.5,8.0
415.76,310.67
322.11,432.78
464.78,213.75
99.92,363.0
110.92,363.0
440.2,670.01
7.0,253.5
11.92,363.0
22.92,363.0
33.92,363.0
331.84,452.51
8.0,483.5
8.0,65.5
430.49,78.96
465.94,180.82
7.0,374.5
153.92,364.0
164.92,364.0
220.92,363.0
8.0,604.5
8.0,186.5
292.92,373.59
235.5,7.0
7.0,495.5
382.24,34.75
7.0,77.5
91.5,8.0
102.5,8.0
158.5,7.0
8.0,725.5
390.21,570.9
8.0,87.5
25.5,8.0
7.0,616.5
8.0,153.5
310.38,9.33
415.88,620.69
421.84,302.66
7.0,198.5
121.92,363.0
431.88,79.16
455.29,246.36
381.31,338.0
8.0,208.5
460.68,138.25
452.52,256.03
372.09,531.89
354.13,19.45
434.0,659.69
7.0,99.5
420.74,630.55
376.96,541.76
429.13,649.83
8.0,329.5
414.54,620.23
435.28,285.34
318.58,423.37
362.93,24.31
466.89,191.82
246.5,7.0
264.92,363.0
275.92,363.0
308.92,362.84
7.0,220.5
409.67,610.37
113.5,8.0
300.52,7.4
8.0,450.5
8.0,32.5
299.12,383.91
326.97,442.65
417.68,62.32
375.62,541.3
436.79,87.92
7.0,341.5
459.66,709.48
441.18,276.08
416.27,62.29
8.0,571.5
186.92,364.0
197.92,364.0
242.92,363.0
253.92,363.0
356.16,501.84
7.0,462.5
7.0,44.5
456.57,245.76
8.0,692.5
257.5,7.0
268.5,7.0
447.7,106.9
8.0,54.5
124.5,8.0
135.5,8.0
7.0,583.5
288.05,363.72
8.0,175.5
389.15,331.73
10.92,364.0
7.0,704.5
21.92,364.0
7.0,66.5
321.21,11.01
400.11,47.47
8.0,296.5
333.17,452.97
208.92,364.0
462.71,224.58
7.0,187.5
8.0,417.5
279.5,7.0
286.92,363.0
443.9,97.62
146.5,8.0
7.0,308.5
32.92,364.0
8.0,538.5
463.26,148.97
401.52,47.33
319.83,361.26
459.97,235.26
466.96,181.79
351.3,491.98
7.0,429.5
219.92,364.0
230.92,364.0
391.37,40.83
8.0,659.5
340.01,355.41
8.0,21.5
7.0,550.5
157.5,8.0
168.5,8.0
302.65,393.32
458.32,709.02
8.0,142.5
7.0,671.5
7.0,33.5
372.75,29.23
43.92,364.0
8.0,263.5
343.73,15.71
401.28,591.09
465.85,192.78
449.93,689.74
7.0,154.5
297.94,363.76
241.92,364.0
8.0,384.5
263.92,364.0
7.0,275.5
371.74,343.44
8.0,505.5
179.5,8.0
54.92,364.0
65.92,364.0
7.0,396.5
399.95,590.63
8.0,626.5
294.26,374.04
336.7,462.38
390.54,331.98
392.77,40.61
252.92,364.0
370.39,343.02
424.98,70.45
289.39,364.18
7.0,517.5
406.15,600.95
175.92,364.0
317.24,422.92
386.69,561.49
8.0,109.5
190.5,8.0
201.5,8.0
7.0,638.5
274.92,364.0
285.92,364.0
318.68,360.44
360.53,347.77
361.03,511.71
8.0,648.5
423.25,302.57
442.55,275.73
8.0,230.5
443.73,679.42
453.46,699.16
76.92,364.0
438.86,669.56
7.0,121.5
364.27,23.83
8.0,351.5
288.5,8.0
7.0,660.5
362.36,512.16
7.0,242.5
15.5,7.0
26.5,7.0
307.51,403.18
8.0,472.5
328.31,443.1
409.83,54.58
7.0,363.5
357.5,502.29
465.08,203.71
87.92,364.0
8.0,593.5
98.92,364.0
303.99,393.77
428.83,294.21
352.63,492.43
365.89,521.57
7.0,484.5
395.08,580.77
8.0,714.5
457.44,127.71
8.0,494.5
8.0,76.5
374.11,28.83
7.0,605.5
458.73,235.94
465.32,169.87
445.07,679.88
37.5,7.0
212.5,8.0
223.5,8.0
8.0,615.5
8.0,197.5
7.0,726.5
7.0,506.5
307.82,361.96
7.0,88.5
452.24,116.86
323.45,433.24
8.0,318.5
109.92,364.0
7.0,627.5
7.0,209.5
380.49,551.17
8.0,439.5
399.37,325.4
311.49,8.47
329.42,358.26
48.5,7.0
59.5,7.0
7.0,330.5
453.55,117.39
8.0,560.5
234.5,8.0
367.23,522.03
407.79,318.28
312.38,413.05
425.61,640.42
120.92,364.0
7.0,451.5
419.4,630.1
8.0,681.5
8.0,461.5
8.0,43.5
132.92,363.0
436.67,285.07
7.0,572.5
438.18,88.21
383.62,34.43
7.0,352.5
136.5,7.0
147.5,7.0
8.0,582.5
8.0,164.5
70.5,7.0
7.0,693.5
245.5,8.0
256.5,8.0
7.0,473.5
7.0,55.5
464.03,158.98
8.0,703.5
8.0,285.5
430.23,294.03
7.0,594.5
446.5,266.47
143.92,363.0
7.0,176.5
465.17,159.83
461.51,225.34
424.27,639.96
8.0,406.5
414.35,310.67
442.54,97.24
346.43,482.11
352.83,20.01
7.0,715.5
7.0,297.5
81.5,7.0
8.0,527.5
8.0,307.5
411.01,610.82
396.42,581.22
466.4,170.78
44.92,363.0
7.0,418.5
267.5,8.0
391.55,571.36
8.0,428.5
8.0,10.5
351.69,352.49
231.92,363.0
330.63,359.0
7.0,539.5
423.63,70.41
7.0,319.5
154.92,363.0
165.92,363.0
296.89,362.81
404.81,600.5
8.0,549.5
8.0,131.5
169.5,7.0
180.5,7.0
338.04,462.83
7.0,440.5
7.0,22.5
36.5,8.0
47.5,8.0
92.5,7.0
454.8,699.61
278.5,8.0
8.0,670.5
8.0,252.5
430.47,650.28
7.0,561.5
55.92,363.0
66.92,363.0
7.0,143.5
435.34,660.15
8.0,373.5
176.92,363.0
322.38,10.21
