x,y
406.03,677.99
460.95,497.43
58.56,57.66
354.5,7.0
365.5,7.0
221.5,8.0
232.5,8.0
243.5,8.0
32.79,725.0
119.79,726.0
131.79,725.0
309.58,357.11
156.67,9.76
413.96,412.07
93.45,30.81
8.77,197.99
232.62,355.0
445.78,456.43
319.24,359.86
7.69,197.08
145.01,351.16
59.98,57.67
453.5,7.0
464.5,7.0
27.14,260.79
43.79,725.0
54.79,725.0
320.5,8.0
331.5,8.0
376.5,7.0
31.49,92.31
219.79,725.0
397.79,397.25
142.79,725.0
243.62,355.0
362.1,373.38
428.45,653.72
465.59,552.86
21.11,250.35
378.32,697.59
466.65,551.93
83.49,325.9
464.33,508.98
387.5,7.0
398.5,7.0
455.87,477.05
167.56,8.55
9.79,726.0
254.5,8.0
265.5,8.0
153.79,725.0
164.79,725.0
446.24,625.85
135.21,14.24
145.87,11.66
74.58,319.42
113.71,341.26
67.5,312.29
52.4,65.59
422.77,420.27
263.79,725.0
254.62,355.0
265.62,355.0
7.08,176.05
464.76,519.02
178.51,8.03
143.82,351.92
338.66,715.97
22.42,250.87
13.7,229.56
415.37,412.09
364.5,8.0
134.37,348.52
342.5,8.0
353.5,8.0
409.5,7.0
241.79,725.0
252.79,725.0
381.36,384.14
352.01,368.87
92.79,331.8
175.79,725.0
8.12,175.09
276.62,355.0
38.81,82.77
350.28,712.83
371.89,378.47
284.78,724.97
102.44,337.1
66.63,50.14
297.55,356.69
85.5,36.96
144.68,10.89
189.5,7.0
421.36,420.16
396.24,684.99
65.79,725.0
76.79,725.0
165.6,355.29
31.79,726.0
42.79,726.0
276.5,8.0
287.5,8.0
94.16,331.44
298.5,8.0
186.79,725.0
341.67,364.98
104.49,25.98
436.03,437.85
388.85,691.8
231.62,356.0
242.62,356.0
399.2,397.11
7.77,165.05
32.47,270.39
155.53,8.92
450.48,466.31
296.81,725.38
404.61,677.92
87.79,725.0
84.88,325.63
387.46,691.56
177.63,354.96
375.5,8.0
386.5,8.0
442.5,7.0
141.79,726.0
152.79,726.0
18.35,240.67
197.79,725.0
208.79,725.0
298.64,355.78
464.02,573.81
124.74,17.5
465.7,529.94
465.66,562.9
200.5,7.0
211.5,7.0
222.5,7.0
154.66,353.95
98.79,725.0
109.79,725.0
444.89,626.27
75.16,43.14
328.14,719.05
407.51,404.37
433.54,645.05
53.79,726.0
309.5,8.0
406.09,404.42
397.5,8.0
413.97,670.35
122.64,345.82
451.79,466.83
26.15,101.94
163.79,726.0
103.78,336.66
412.56,670.36
264.62,356.0
275.62,356.0
447.12,456.86
12.2,219.63
187.62,356.0
166.48,7.64
120.79,725.0
379.98,384.45
50.99,65.67
408.5,8.0
419.5,8.0
59.47,304.83
348.98,712.27
13.95,132.6
174.79,726.0
185.79,726.0
230.79,725.0
133.98,13.55
177.49,7.05
198.62,356.0
209.62,356.0
9.14,154.11
27.5,101.51
17.07,240.06
18.65,121.52
32.86,91.97
233.5,7.0
244.5,7.0
331.13,361.71
308.45,357.95
176.61,355.93
430.5,8.0
44.89,288.46
20.79,726.0
50.51,296.79
453.94,606.26
68.04,50.24
462.15,498.17
360.76,373.84
220.62,356.0
274.79,725.0
11.2,143.28
9.0,208.03
462.85,574.61
458.8,595.22
255.5,7.0
452.5,8.0
441.5,8.0
43.93,74.13
11.01,218.87
166.69,354.38
451.04,615.9
196.79,726.0
207.79,726.0
389.07,390.59
155.8,353.11
21.44,111.89
130.79,726.0
441.86,447.19
12.4,142.52
350.7,369.42
285.8,725.95
133.13,349.21
266.5,7.0
277.5,7.0
113.17,20.89
434.93,644.79
43.48,288.29
38.39,279.62
17.37,122.12
15.19,131.92
8.09,187.03
466.76,530.89
218.79,726.0
429.66,428.87
459.32,487.52
94.82,31.17
253.62,356.0
318.63,722.28
37.0,279.36
463.18,508.17
455.23,605.68
288.5,7.0
340.4,365.6
463.5,8.0
112.41,341.79
229.79,726.0
240.79,726.0
45.33,73.97
14.94,230.25
58.05,304.83
421.46,662.25
454.58,476.46
287.63,355.1
262.79,726.0
273.79,726.0
427.05,653.9
114.48,21.42
464.55,563.78
461.73,584.59
299.5,7.0
310.5,7.0
339.92,716.61
31.09,270.03
368.83,703.06
64.79,726.0
320.43,359.09
307.76,724.16
420.04,662.34
251.79,726.0
123.92,345.22
84.11,36.69
458.08,486.85
460.52,585.32
123.46,16.88
75.98,319.23
75.79,726.0
86.79,726.0
370.53,378.86
37.42,83.03
8.86,164.15
306.63,723.3
286.61,356.07
439.49,635.83
188.62,355.0
434.65,437.58
390.47,390.36
397.64,685.15
329.91,362.42
76.56,43.32
295.73,724.46
25.79,260.35
66.09,312.39
22.75,111.38
440.87,635.49
428.26,428.67
332.5,7.0
51.92,296.88
321.5,7.0
343.5,7.0
465.87,519.9
188.5,8.0
199.5,8.0
210.5,8.0
360.37,708.45
199.62,355.0
7.06,186.08
449.71,616.41
329.36,719.77
379.69,697.91
467.0,540.91
370.19,703.47
420.5,7.0
431.5,7.0
10.79,725.0
21.79,725.0
97.79,726.0
108.79,726.0
103.15,25.54
10.15,208.86
317.45,721.5
466.0,541.9
10.28,153.28
210.62,355.0
221.62,355.0
359.04,707.96
457.54,595.88
440.49,446.84
