x,y
237.0,39.58
427.5,7.0
20.5,7.0
31.5,7.0
86.5,7.0
97.5,7.0
238.0,95.58
238.0,590.58
238.0,40.58
229.5,7.0
238.0,535.58
284.5,7.0
295.5,7.0
43.5,8.0
32.5,8.0
98.5,8.0
109.5,8.0
164.5,8.0
350.5,7.0
219.5,8.0
405.5,7.0
416.5,7.0
237.0,105.58
351.5,8.0
237.0,50.58
237.0,545.58
21.5,8.0
362.5,8.0
417.5,8.0
428.5,8.0
238.0,282.58
238.0,656.58
238.0,205.58
238.0,106.58
238.0,150.58
238.0,51.58
238.0,546.58
238.0,601.58
237.0,116.58
237.0,160.58
237.0,61.58
237.0,556.58
237.0,611.58
460.5,8.0
238.0,403.58
238.0,348.58
238.0,293.58
238.0,722.58
238.0,667.58
238.0,216.58
238.0,612.58
238.0,161.58
238.0,557.58
130.5,7.0
174.5,7.0
185.5,7.0
237.0,303.58
237.0,358.58
240.5,7.0
251.5,7.0
306.5,7.0
361.5,7.0
237.0,677.58
237.0,226.58
237.0,127.58
237.0,171.58
237.0,567.58
237.0,622.58
238.0,469.58
238.0,414.58
42.5,7.0
238.0,359.58
108.5,7.0
238.0,304.58
163.5,7.0
318.5,8.0
373.5,8.0
439.5,8.0
238.0,678.58
238.0,227.58
120.5,8.0
237.0,479.58
175.5,8.0
237.0,424.58
230.5,8.0
237.0,369.58
241.5,8.0
237.0,314.58
296.5,8.0
237.0,259.58
307.5,8.0
237.0,688.58
237.0,237.58
237.0,633.58
237.0,182.58
238.0,480.58
238.0,425.58
238.0,370.58
237.0,490.58
237.0,435.58
237.0,380.58
238.0,491.58
238.0,117.58
238.0,62.58
9.5,7.0
53.5,7.0
64.5,7.0
119.5,7.0
237.0,501.58
237.0,446.58
196.5,7.0
237.0,72.58
262.5,7.0
10.5,8.0
237.0,17.58
76.5,8.0
65.5,8.0
131.5,8.0
237.0,512.58
186.5,8.0
197.5,8.0
252.5,8.0
317.5,7.0
372.5,7.0
383.5,7.0
438.5,7.0
449.5,7.0
238.0,623.58
238.0,172.58
238.0,73.58
238.0,568.58
238.0,18.58
238.0,513.58
340.5,8.0
384.5,8.0
395.5,8.0
54.5,8.0
450.5,8.0
237.0,83.58
237.0,578.58
237.0,28.58
237.0,523.58
238.0,315.58
238.0,260.58
238.0,689.58
238.0,238.58
238.0,634.58
238.0,183.58
238.0,84.58
238.0,128.58
238.0,524.58
238.0,579.58
237.0,325.58
237.0,270.58
237.0,699.58
237.0,248.58
237.0,644.58
237.0,193.58
237.0,94.58
237.0,138.58
237.0,534.58
237.0,589.58
238.0,436.58
238.0,381.58
238.0,326.58
141.5,7.0
152.5,7.0
218.5,7.0
207.5,7.0
238.0,271.58
273.5,7.0
238.0,700.58
238.0,249.58
238.0,645.58
238.0,194.58
328.5,7.0
238.0,139.58
339.5,7.0
394.5,7.0
75.5,7.0
237.0,391.58
285.5,8.0
237.0,336.58
237.0,281.58
406.5,8.0
237.0,710.58
237.0,655.58
237.0,204.58
237.0,600.58
237.0,149.58
238.0,502.58
87.5,8.0
238.0,447.58
142.5,8.0
153.5,8.0
208.5,8.0
238.0,337.58
238.0,392.58
263.5,8.0
274.5,8.0
329.5,8.0
238.0,711.58
237.0,457.58
237.0,402.58
237.0,347.58
237.0,292.58
237.0,721.58
237.0,666.58
237.0,215.58
461.5,7.0
238.0,458.58
238.0,29.58
237.0,468.58
237.0,413.58
