x,y
467.0,407.73
200.97,723.19
7.0,282.5
7.58,512.52
466.0,298.73
467.0,66.73
7.0,403.5
466.0,133.73
466.0,419.73
467.0,143.73
466.0,12.73
11.34,535.21
466.0,78.73
467.0,22.73
8.0,116.5
466.75,506.75
466.0,155.73
7.0,7.5
446.12,591.88
8.0,237.5
12.28,545.21
441.29,601.76
7.0,128.5
8.0,358.5
467.0,374.73
450.47,581.78
7.0,249.5
466.0,265.73
8.0,479.5
467.0,495.73
91.69,674.29
61.8,643.47
7.0,370.5
128.25,698.72
466.0,386.73
158.35,712.2
191.31,720.44
321.1,710.14
310.72,713.93
416.01,638.83
386.93,670.42
7.0,491.5
255.82,724.24
467.0,231.73
8.0,83.5
467.0,44.73
25.78,587.17
277.58,721.42
464.7,528.68
8.0,204.5
8.65,513.44
159.63,711.6
466.0,243.73
465.71,507.7
7.0,95.5
466.0,56.73
100.38,681.05
8.0,325.5
467.0,341.73
395.11,663.03
7.0,216.5
436.0,611.41
21.64,576.93
8.0,446.5
467.0,462.73
7.0,337.5
466.0,353.73
16.11,556.63
467.0,121.73
7.0,458.5
349.58,695.46
139.38,703.21
267.85,723.95
466.0,474.73
434.63,611.76
223.93,724.63
8.0,468.5
245.9,725.83
465.99,517.74
467.0,198.73
8.0,50.5
120.05,692.93
460.55,550.32
8.0,171.5
109.39,687.38
266.73,723.09
7.0,480.5
466.0,210.73
422.65,630.11
7.0,62.5
211.89,724.64
8.0,292.5
10.19,534.39
467.0,308.73
467.0,33.73
360.39,690.13
368.16,683.74
7.0,183.5
9.74,524.36
8.0,413.5
180.61,718.01
467.0,429.73
93.09,674.15
278.74,722.22
13.47,545.98
7.0,304.5
466.0,320.73
466.0,45.73
8.0,314.5
401.52,655.29
467.0,88.73
7.0,425.5
466.0,441.73
459.34,551.06
8.0,435.5
190.12,721.22
467.0,165.73
8.0,17.5
36.86,607.38
439.95,602.18
53.52,634.72
7.0,326.5
466.0,100.73
298.96,716.52
8.0,138.5
464.89,518.64
41.07,616.52
467.0,110.73
461.71,540.35
428.86,621.07
7.0,447.5
466.0,177.73
7.0,29.5
118.69,693.28
8.0,259.5
288.33,719.23
350.95,695.84
467.0,275.73
410.37,647.14
233.88,725.98
7.0,150.5
18.0,566.49
466.0,122.73
8.0,380.5
467.0,396.73
408.96,647.24
7.0,271.5
466.0,287.73
341.23,701.08
234.89,724.99
202.11,722.36
8.0,281.5
7.0,392.5
454.33,571.46
7.0,172.5
466.0,408.73
393.7,662.99
8.0,402.5
456.45,561.64
467.0,132.73
148.09,708.18
7.0,293.5
466.0,67.73
467.0,11.73
467.0,253.73
8.0,105.5
467.0,77.73
54.93,634.91
7.0,414.5
466.0,144.73
19.26,567.14
76.72,659.56
8.0,226.5
22.93,577.51
466.0,23.73
7.06,501.51
339.89,700.64
7.0,117.5
149.39,707.64
466.0,89.73
8.0,347.5
467.0,363.73
8.0,127.5
7.0,238.5
179.39,718.73
60.39,643.34
101.78,680.83
467.0,484.73
8.0,248.5
244.87,724.87
7.0,359.5
466.0,375.73
7.0,139.5
30.4,597.2
8.0,369.5
319.8,709.57
466.0,496.73
7.0,260.5
168.79,715.72
129.6,698.3
8.0,490.5
467.0,220.73
8.0,72.5
444.8,592.37
7.0,381.5
309.45,713.3
369.55,683.99
8.0,193.5
424.04,629.88
463.56,529.53
466.0,232.73
7.0,84.5
31.74,597.65
467.0,242.73
467.0,330.73
8.0,94.5
467.0,55.73
35.5,606.99
7.0,205.5
467.0,451.73
8.0,215.5
110.77,687.1
466.0,254.73
466.0,342.73
7.0,106.5
222.87,725.57
417.41,638.67
84.73,667.05
8.0,336.5
467.0,352.73
331.28,705.85
466.0,463.73
7.0,227.5
256.9,725.15
8.0,457.5
467.0,187.73
378.4,677.41
8.0,39.5
467.0,473.73
7.0,348.5
466.0,364.73
8.0,160.5
7.0,469.5
466.0,199.73
7.0,51.5
466.0,485.73
453.06,572.08
289.53,719.97
430.24,620.78
27.09,587.69
329.95,705.35
467.0,209.73
467.0,297.73
8.0,61.5
47.08,625.77
83.32,667.13
402.93,655.27
462.88,539.55
377.0,677.23
8.09,502.49
449.17,582.33
467.0,418.73
8.0,182.5
170.04,715.06
466.0,221.73
466.0,309.73
7.0,73.5
466.0,34.73
8.0,303.5
467.0,319.73
67.65,651.64
75.3,659.57
466.0,430.73
7.0,194.5
8.0,424.5
467.0,154.73
8.0,6.5
467.0,440.73
7.0,315.5
466.0,331.73
467.0,99.73
7.0,436.5
466.0,166.73
14.88,555.92
7.0,18.5
466.0,452.73
467.0,176.73
467.0,264.73
8.0,28.5
8.63,523.49
466.0,111.73
69.07,651.69
467.0,385.73
8.0,149.5
212.99,723.76
359.01,689.82
457.7,560.97
42.44,616.84
48.47,626.03
466.0,188.73
466.0,276.73
7.0,40.5
385.52,670.31
8.0,270.5
467.0,286.73
138.06,703.69
466.0,397.73
7.0,161.5
8.0,391.5
300.19,717.21
