x,y
324.0,459.19
377.55,291.53
467.9,8.6
387.59,260.09
212.46,647.8
360.81,343.92
68.56,197.22
247.04,700.2
219.8,667.5
467.25,7.35
19.02,38.78
112.06,333.44
115.41,343.92
162.91,489.37
444.47,81.96
32.4,80.7
232.53,710.67
69.21,195.96
45.14,123.87
233.18,709.42
142.83,426.49
303.93,522.06
38.45,102.91
356.82,353.14
65.22,186.74
209.11,637.32
334.04,427.75
243.69,710.67
366.86,321.71
165.61,501.1
55.83,154.05
277.16,605.89
437.78,102.91
132.14,396.31
146.18,436.97
21.71,50.52
35.75,91.18
433.79,112.13
108.72,322.96
196.37,594.15
199.72,604.63
386.94,258.84
260.42,658.28
417.05,164.53
109.37,321.71
273.81,616.37
179.64,541.76
330.05,436.97
31.75,81.96
41.79,113.39
307.27,511.58
92.64,269.31
309.97,499.84
202.42,616.37
145.53,438.23
457.86,40.04
441.13,92.43
443.82,80.7
229.84,698.94
129.45,384.58
216.45,657.02
300.58,532.54
350.78,375.36
8.98,7.35
256.43,667.5
263.12,646.54
65.86,185.48
166.26,499.84
400.97,218.18
186.33,562.72
463.9,17.83
172.95,520.8
316.66,478.89
273.16,615.11
51.83,144.83
253.73,679.24
205.76,626.84
283.2,583.67
297.23,543.02
156.22,468.41
206.41,625.59
400.32,216.92
162.26,490.62
320.01,468.41
454.51,50.52
457.21,38.78
116.06,342.67
250.38,689.72
236.53,719.9
192.38,584.93
403.67,206.44
417.7,165.78
58.52,165.78
178.99,543.02
85.94,248.36
283.85,584.93
434.43,113.39
45.79,122.61
246.39,698.94
340.09,405.54
159.56,478.89
320.66,469.67
376.9,290.27
423.75,143.57
122.75,363.62
286.55,573.19
354.12,364.88
136.14,405.54
189.03,574.45
310.62,501.1
411.01,186.74
229.19,700.19
102.67,300.75
344.08,396.31
72.56,206.44
105.37,312.49
119.41,353.14
347.43,385.84
390.28,248.36
440.48,91.18
125.45,375.36
176.29,531.28
280.5,595.41
330.7,438.23
407.66,197.22
380.24,279.79
431.09,123.87
437.13,101.66
18.37,40.04
139.48,416.01
8.33,8.6
11.67,19.08
270.46,626.84
337.39,417.27
219.15,668.76
243.04,709.42
414.36,176.26
323.36,457.93
182.34,553.49
89.29,258.83
148.88,448.71
199.07,605.89
91.99,270.57
142.18,427.75
306.62,510.32
340.74,406.79
25.71,59.74
266.47,636.07
413.71,175.01
276.51,604.63
213.1,646.54
25.06,61.0
78.6,228.66
168.95,511.58
71.91,207.7
122.1,364.88
453.86,49.26
326.7,447.45
203.07,615.11
293.89,553.49
132.79,395.06
152.87,457.93
293.24,552.24
346.78,384.58
303.28,520.8
257.08,668.76
189.68,573.19
112.71,332.19
15.67,28.3
451.17,61.0
447.82,71.48
95.98,279.79
313.32,489.37
370.21,311.23
215.8,658.28
169.6,510.32
343.43,395.06
370.85,312.49
172.3,522.06
327.35,448.71
384.24,270.57
99.33,290.27
102.03,302.01
29.05,70.22
430.44,122.61
152.22,459.19
52.48,143.57
95.33,281.05
155.57,469.67
75.9,216.92
223.14,677.98
317.31,480.14
363.51,332.19
427.09,133.09
128.8,385.84
460.56,28.3
193.03,583.67
135.49,406.79
235.88,721.15
404.32,207.7
239.7,719.9
42.44,112.13
75.25,218.18
353.47,363.62
380.89,281.05
195.72,595.41
55.18,155.31
333.4,426.49
158.91,480.14
427.74,134.35
48.48,134.35
85.29,249.61
267.12,637.32
373.55,300.75
421.05,155.31
88.64,260.09
240.35,721.15
279.85,594.15
313.97,490.62
393.63,237.88
390.93,249.61
61.87,176.26
12.32,17.83
225.84,689.72
259.78,657.02
374.2,302.01
287.2,574.45
410.36,185.48
62.52,175.01
383.59,269.31
35.1,92.43
299.93,531.28
367.51,322.96
263.77,647.8
396.98,227.4
149.52,447.45
222.5,679.24
464.55,19.08
28.41,71.48
79.25,227.4
106.02,311.23
350.13,374.1
126.1,374.1
15.02,29.56
39.09,101.66
49.13,133.09
22.36,49.26
59.17,164.53
364.16,333.44
450.52,59.74
249.74,688.46
269.81,625.59
397.62,228.66
175.65,532.54
82.6,237.88
226.49,688.46
420.4,154.05
447.17,70.22
185.68,563.97
182.99,552.24
424.4,144.83
360.17,342.66
357.47,354.4
290.54,563.97
98.68,291.53
209.76,636.07
289.89,562.72
394.28,239.13
407.01,195.96
118.76,354.4
296.58,541.76
336.74,416.02
253.08,677.98
138.84,417.27
461.21,29.56
81.95,239.13
