x,y
468.16,66.0
7.0,691.5
7.0,273.5
354.8,547.0
206.65,405.87
8.0,274.5
467.16,362.0
349.05,537.63
126.12,537.13
468.16,187.0
183.31,441.99
366.63,564.38
7.0,394.5
68.26,629.51
383.89,592.51
8.0,395.5
245.83,367.49
467.16,483.0
217.83,385.74
468.16,308.0
7.0,515.5
74.34,621.51
8.0,516.5
239.75,359.49
467.16,604.0
8.0,98.5
468.16,429.0
303.35,461.25
7.0,636.5
125.79,535.75
7.0,416.5
8.0,637.5
467.16,725.0
8.0,219.5
468.16,550.0
383.56,593.88
467.16,87.0
400.82,622.01
137.62,518.38
7.0,537.5
7.0,119.5
114.28,554.5
395.07,612.64
22.24,704.52
8.0,340.5
235.08,357.61
468.16,671.0
412.65,639.39
8.0,120.5
467.16,208.0
468.16,33.0
7.0,658.5
11.07,724.65
7.0,240.5
8.0,241.5
467.16,329.0
468.16,154.0
303.03,462.62
7.0,361.5
263.09,395.61
212.4,396.49
8.0,362.5
177.89,452.75
468.16,693.0
467.16,450.0
468.16,275.0
7.0,482.5
7.0,262.5
429.58,668.89
62.84,640.26
446.84,697.02
8.0,483.5
418.41,648.76
467.16,571.0
8.0,65.5
468.16,396.0
143.05,507.63
464.42,723.77
166.05,470.12
7.0,603.5
7.0,383.5
8.0,604.5
467.16,692.0
8.0,186.5
468.16,517.0
274.59,414.37
467.16,54.0
195.15,424.62
7.0,504.5
7.0,86.5
97.03,582.63
308.78,472.0
468.16,638.0
467.16,593.0
8.0,87.5
467.16,175.0
223.58,376.36
7.0,625.5
57.09,649.64
7.0,207.5
103.11,574.63
467.16,714.0
8.0,208.5
468.16,539.0
467.16,296.0
468.16,121.0
245.5,368.86
7.0,328.5
131.54,526.38
8.0,329.5
468.16,660.0
467.16,417.0
200.9,415.24
468.16,242.0
7.0,449.5
7.0,229.5
8.0,450.5
366.3,565.76
467.16,538.0
8.0,32.5
468.16,363.0
8.0,724.5
447.17,695.64
7.0,350.5
8.0,571.5
149.13,499.62
467.16,659.0
468.16,484.0
34.08,687.14
467.16,21.0
206.32,404.49
45.25,667.02
7.0,471.5
274.26,415.74
7.0,53.5
8.0,692.5
468.16,605.0
467.16,560.0
320.28,490.75
291.52,443.87
8.0,54.5
467.16,142.0
309.11,470.62
280.34,423.74
372.05,575.13
7.0,592.5
7.0,174.5
468.16,726.0
467.16,681.0
183.64,443.37
8.0,175.5
468.16,506.0
467.16,263.0
468.16,88.0
102.78,573.26
7.0,713.5
7.0,295.5
7.0,75.5
452.92,705.02
74.01,620.14
8.0,296.5
468.16,627.0
467.16,384.0
468.16,209.0
154.55,488.87
326.04,500.12
91.27,592.01
7.0,196.5
137.29,517.0
8.0,417.5
467.16,505.0
468.16,330.0
314.53,481.37
131.87,527.75
218.16,387.11
360.88,555.0
51.33,659.02
166.39,471.5
7.0,317.5
97.35,584.01
8.0,538.5
355.13,545.63
467.16,626.0
468.16,451.0
467.16,406.0
7.0,438.5
464.1,725.15
194.82,423.24
435.33,678.27
7.0,20.5
435.66,676.89
8.0,659.5
200.57,413.87
468.16,572.0
120.03,545.13
467.16,527.0
8.0,21.5
468.16,352.0
467.16,109.0
7.0,559.5
7.0,141.5
62.51,638.89
467.16,648.0
8.0,142.5
468.16,473.0
467.16,230.0
468.16,55.0
337.54,518.88
7.0,680.5
297.6,451.87
22.57,705.9
7.0,42.5
314.86,480.0
212.08,395.11
389.64,601.88
8.0,263.5
406.9,630.01
468.16,594.0
467.16,351.0
468.16,176.0
401.15,620.64
372.39,573.76
7.0,163.5
8.0,384.5
468.16,715.0
467.16,472.0
468.16,297.0
467.16,252.0
33.75,685.77
79.77,610.76
262.76,396.99
7.0,284.5
8.0,505.5
468.16,418.0
467.16,373.0
468.16,198.0
39.83,677.77
171.81,460.75
7.0,405.5
8.0,626.5
418.08,650.14
467.16,494.0
378.14,583.13
468.16,319.0
251.58,376.86
467.16,76.0
343.62,526.88
7.0,526.5
7.0,108.5
467.16,615.0
8.0,109.5
468.16,440.0
467.16,197.0
468.16,22.0
343.29,528.25
51.0,657.64
7.0,647.5
280.01,425.12
80.1,612.14
7.0,9.5
172.14,462.12
8.0,648.5
8.0,230.5
468.16,561.0
467.16,318.0
326.36,498.75
468.16,143.0
467.16,98.0
268.84,404.99
360.55,556.38
7.0,130.5
8.0,351.5
468.16,682.0
467.16,439.0
468.16,264.0
467.16,219.0
468.16,44.0
7.0,251.5
223.91,377.74
8.0,472.5
235.42,358.99
468.16,385.0
467.16,340.0
468.16,165.0
7.0,372.5
285.77,434.49
8.0,593.5
28.32,696.52
389.31,603.26
467.16,461.0
468.16,286.0
349.37,536.25
467.16,43.0
7.0,493.5
8.0,714.5
8.0,494.5
467.16,582.0
8.0,76.5
468.16,407.0
467.16,164.0
406.57,631.39
7.0,614.5
39.5,676.39
423.83,659.52
8.0,615.5
467.16,703.0
8.0,197.5
468.16,528.0
467.16,285.0
468.16,110.0
467.16,65.0
120.37,546.5
160.3,479.5
7.0,97.5
8.0,318.5
468.16,649.0
468.16,231.0
467.16,186.0
468.16,11.0
177.56,451.37
7.0,218.5
424.16,658.14
395.39,611.26
189.07,432.62
8.0,439.5
467.16,307.0
468.16,132.0
108.86,565.26
56.76,648.26
154.88,490.25
7.0,339.5
27.99,695.14
8.0,560.5
251.25,378.24
452.59,706.4
85.52,601.38
441.42,686.27
467.16,428.0
468.16,253.0
467.16,10.0
16.82,715.27
268.51,406.37
7.0,460.5
45.58,668.39
8.0,681.5
91.6,593.38
7.0,725.5
8.0,461.5
467.16,549.0
8.0,43.5
468.16,374.0
467.16,131.0
7.0,581.5
8.0,582.5
229.66,368.36
467.16,670.0
8.0,164.5
468.16,495.0
468.16,77.0
467.16,32.0
10.74,723.27
7.0,702.5
7.0,64.5
8.0,703.5
8.0,285.5
148.8,498.25
468.16,616.0
467.16,153.0
331.79,509.5
297.27,453.25
7.0,185.5
291.85,442.49
286.1,433.12
257.33,386.24
8.0,406.5
240.08,358.11
467.16,274.0
468.16,99.0
7.0,306.5
441.08,687.64
412.32,640.76
108.53,563.88
8.0,527.5
8.0,307.5
467.16,395.0
468.16,220.0
7.0,427.5
68.59,630.89
429.91,667.52
229.33,366.99
8.0,428.5
467.16,516.0
8.0,10.5
468.16,341.0
7.0,548.5
85.85,602.76
320.61,489.37
189.39,433.99
8.0,549.5
467.16,637.0
8.0,131.5
377.81,584.51
468.16,462.0
337.87,517.5
332.12,508.13
7.0,669.5
143.37,509.0
7.0,31.5
8.0,670.5
16.49,713.9
8.0,252.5
468.16,583.0
467.16,120.0
257.0,387.61
458.34,715.77
7.0,570.5
7.0,152.5
458.67,714.4
114.61,555.88
8.0,373.5
160.63,480.87
468.16,704.0
8.0,153.5
467.16,241.0
