x,y
66.68,100.77
167.44,257.12
226.52,349.9
54.87,82.21
135.41,527.5
368.33,572.58
185.16,284.95
325.11,230.99
419.65,81.36
173.04,267.78
456.66,713.14
261.98,405.57
444.84,694.58
87.98,601.63
182.53,452.0
443.37,44.29
354.44,183.28
31.54,43.72
66.99,99.39
403.48,629.63
76.13,620.16
22.47,702.17
395.94,118.42
7.9,6.6
336.66,211.08
342.59,201.81
456.96,711.76
28.4,692.91
90.62,136.5
194.38,433.46
303.34,470.52
143.8,220.01
360.37,174.02
307.32,258.79
96.23,147.16
421.51,656.09
161.53,247.84
214.4,332.73
265.52,322.27
271.45,313.01
87.68,600.25
384.39,138.33
25.63,34.44
384.08,136.95
348.52,192.55
301.09,266.68
326.66,509.02
13.5,17.26
248.04,351.45
267.58,416.23
218.1,396.4
332.88,516.91
449.29,35.03
43.05,63.66
49.26,71.55
461.45,17.88
277.38,303.74
253.67,340.8
232.13,360.56
261.67,406.95
16.85,712.82
10.61,720.71
390.01,127.69
161.22,249.22
414.03,92.0
99.84,583.1
297.43,461.24
243.94,379.12
200.31,424.2
176.6,461.26
397.88,618.97
461.15,16.5
366.3,164.75
190.76,295.61
206.54,416.31
443.67,45.68
407.8,99.89
123.55,546.04
332.57,518.29
467.08,7.23
84.71,127.22
126.08,192.17
303.03,471.9
137.89,210.73
40.56,675.76
46.18,665.11
208.49,323.45
117.32,553.92
230.26,379.25
212.47,407.05
427.11,666.75
60.77,91.49
152.89,498.32
69.89,628.05
338.79,526.19
22.77,703.56
13.81,15.88
379.84,592.52
235.88,368.6
34.33,683.64
313.25,249.53
455.22,25.76
93.61,590.98
390.32,129.07
295.47,277.32
315.15,489.08
244.25,377.74
425.58,72.09
319.18,240.26
48.96,72.93
289.24,285.21
409.69,637.53
220.62,340.62
344.39,536.85
153.19,499.71
324.8,229.61
37.45,53.0
188.76,444.11
78.5,119.33
149.71,229.28
238.34,368.46
90.32,137.88
368.03,573.96
99.54,581.72
312.95,248.14
462.87,721.04
202.89,312.79
105.77,573.83
285.3,444.07
373.93,583.24
31.23,45.1
307.02,257.41
19.72,25.16
75.82,618.78
277.68,305.12
202.58,314.17
96.53,145.78
158.82,489.06
220.31,342.0
102.44,155.06
114.26,173.61
301.39,268.06
224.33,388.51
247.74,350.07
167.13,258.5
129.48,536.77
113.95,175.0
291.52,451.96
413.73,90.62
135.1,526.12
196.98,303.51
330.73,220.35
321.06,498.36
291.21,453.34
431.81,64.21
28.7,694.29
238.03,369.84
437.44,53.56
326.97,507.63
256.07,396.29
331.04,221.73
433.02,676.03
58.04,646.58
218.4,397.78
366.6,166.13
78.81,117.94
81.75,609.52
419.96,82.74
34.63,685.02
438.93,685.3
354.75,184.66
360.68,175.4
273.79,424.13
170.98,471.91
25.32,35.82
320.76,499.74
318.88,238.88
421.2,657.47
165.05,481.17
378.46,147.6
314.85,490.46
194.69,434.84
176.9,462.64
93.91,592.37
279.7,433.41
283.61,295.86
37.14,54.38
43.35,62.27
10.92,722.09
409.39,638.91
170.67,470.53
451.05,702.48
229.95,377.87
403.78,628.25
196.67,304.89
117.62,555.3
212.17,405.67
16.54,711.44
200.62,425.58
362.42,563.3
146.96,507.59
19.41,26.54
336.96,212.46
297.12,462.62
356.21,555.41
439.24,683.92
385.75,601.8
415.29,648.19
449.6,36.41
141.03,516.86
253.97,342.19
350.61,544.75
155.62,238.56
64.27,638.69
143.5,221.39
250.16,387.02
386.06,600.42
425.88,73.47
450.75,703.86
108.04,165.72
408.1,101.27
119.86,184.27
182.83,453.38
224.03,387.13
283.31,294.47
125.77,193.55
147.26,508.97
178.95,277.06
397.57,620.36
108.35,164.34
350.3,546.13
279.39,434.79
374.24,581.86
415.6,646.81
63.97,637.31
259.9,332.92
289.54,286.59
391.97,609.7
255.76,397.67
46.49,666.49
208.8,322.07
40.25,674.38
427.42,665.37
236.18,369.98
242.11,360.72
206.24,414.93
191.07,294.23
308.94,481.18
338.48,527.57
401.87,109.16
348.82,193.93
131.98,201.45
462.56,722.42
273.49,425.51
155.31,239.94
342.89,203.2
58.34,647.96
105.46,572.45
173.35,266.4
391.66,611.08
72.9,108.67
295.16,275.94
344.7,535.47
372.53,156.87
431.51,62.83
52.41,657.23
455.53,27.14
271.75,314.39
70.2,629.43
55.17,80.83
232.43,359.18
241.81,359.34
362.12,564.69
396.24,119.8
437.74,54.94
111.69,564.57
226.22,351.28
61.08,90.11
52.11,655.84
102.13,156.44
131.68,202.83
137.59,212.11
467.38,8.61
445.14,693.2
159.12,490.44
141.33,518.24
123.25,544.65
179.25,275.68
378.16,146.22
402.17,110.54
72.59,110.05
259.59,331.54
267.88,414.85
164.74,479.79
380.15,591.14
84.41,128.6
309.25,479.8
82.05,610.9
188.46,442.73
265.83,323.65
214.71,331.35
372.23,155.49
433.33,674.64
7.6,7.99
184.86,286.33
120.17,182.89
111.39,563.19
149.4,230.67
129.18,535.39
249.85,388.4
356.51,554.03
285.61,442.69
