x,y
431.81,64.21
24.0,33.75
189.45,293.54
236.64,444.5
236.64,389.5
301.4,268.06
160.21,245.77
325.11,230.99
237.64,555.5
237.64,500.5
437.44,53.56
95.22,143.71
237.64,445.5
237.64,390.5
419.65,81.36
331.04,221.73
154.0,237.87
12.19,15.19
443.37,44.29
236.64,510.5
236.64,455.5
101.12,152.99
236.64,400.5
354.44,183.28
366.6,166.13
18.1,24.47
107.03,162.26
259.9,332.92
289.54,286.59
253.97,342.18
237.64,676.5
455.53,27.14
237.64,621.5
237.64,566.5
237.64,511.5
83.09,126.53
224.9,349.21
237.64,456.5
65.67,97.32
100.82,154.37
419.96,82.74
466.54,8.07
219.3,338.55
124.45,191.48
313.25,249.53
236.64,631.5
236.64,576.5
236.64,521.5
236.64,466.5
165.81,256.43
236.64,411.5
395.94,118.42
354.75,184.66
177.63,274.99
236.18,366.92
360.68,175.4
455.22,25.76
237.64,687.5
237.64,632.5
237.64,577.5
390.32,129.07
295.47,277.32
242.11,360.72
83.4,125.15
172.03,264.33
336.66,211.08
342.59,201.81
236.64,697.5
236.64,642.5
236.64,587.5
218.99,339.93
236.64,532.5
89.0,135.81
425.58,72.09
124.76,190.1
201.27,312.1
318.88,238.88
237.64,698.5
319.18,240.26
136.27,210.04
237.64,643.5
53.85,78.76
47.64,70.86
401.87,109.16
65.37,98.7
348.82,193.93
289.24,285.21
36.13,50.92
207.17,321.38
378.46,147.6
166.12,255.05
35.82,52.31
171.72,265.71
236.64,708.5
236.64,653.5
324.8,229.61
148.39,227.21
360.37,174.02
237.64,401.5
307.32,258.79
342.89,203.2
59.76,88.04
148.09,228.59
207.48,320.0
265.52,322.27
271.45,313.01
283.61,295.86
237.42,367.01
236.64,719.5
384.39,138.33
106.73,163.65
295.16,275.94
312.95,248.14
372.53,156.87
431.51,62.83
77.18,117.25
384.08,136.95
71.27,107.98
130.36,200.76
237.64,467.5
237.64,522.5
237.64,412.5
271.75,314.39
348.52,192.55
301.09,266.68
59.46,89.42
29.91,43.03
77.49,115.87
396.24,119.8
118.54,182.2
437.74,54.94
18.4,23.09
236.64,477.5
30.22,41.65
236.64,422.5
118.85,180.82
283.31,294.47
248.04,351.45
307.02,257.41
237.64,588.5
183.85,282.88
237.64,533.5
237.64,478.5
237.64,423.5
12.49,13.81
277.68,305.12
89.31,134.43
449.29,35.03
241.81,359.33
225.21,347.83
236.64,598.5
236.64,543.5
336.96,212.46
53.55,80.14
112.94,171.54
236.64,433.5
236.64,488.5
236.64,378.5
277.38,303.74
461.45,17.88
42.04,60.2
253.67,340.8
24.31,32.37
237.64,709.5
237.64,654.5
237.64,599.5
237.64,544.5
177.94,273.6
237.64,489.5
47.95,69.48
230.81,358.49
449.6,36.41
41.73,61.58
390.01,127.69
236.64,664.5
236.64,609.5
236.64,554.5
414.03,92.0
236.64,499.5
195.66,301.44
378.16,146.22
402.17,110.54
259.59,331.54
130.67,199.38
159.9,247.15
237.64,665.5
142.49,217.93
237.64,610.5
237.64,720.5
94.91,145.09
195.36,302.82
265.83,323.65
213.08,330.66
467.92,7.77
112.63,172.92
236.64,675.5
236.64,620.5
236.64,565.5
372.23,155.49
189.75,292.16
247.74,350.07
461.15,16.5
425.88,73.47
201.57,310.72
231.12,357.11
366.3,164.75
71.58,106.59
443.67,45.68
183.54,284.26
407.8,99.89
413.73,90.62
408.1,101.27
236.64,686.5
154.3,236.49
330.73,220.35
237.64,434.5
237.64,379.5
142.18,219.32
136.58,208.66
213.39,329.27
