x,y
253.43,343.03
20.85,704.7
46.94,727.0
330.5,222.57
365.94,727.0
376.94,727.0
316.5,7.0
327.5,7.0
388.4,130.21
183.5,8.0
194.5,8.0
228.34,380.39
306.78,259.63
400.25,111.68
145.94,727.0
190.94,726.0
93.37,593.21
201.94,726.0
212.94,726.0
425.35,74.32
453.94,727.0
57.94,727.0
68.94,727.0
464.94,727.0
415.5,7.0
8.5,7.0
19.5,7.0
30.5,7.0
51.87,658.07
123.01,546.88
210.55,408.19
465.46,9.76
234.27,371.13
338.5,7.0
158.58,491.28
205.5,8.0
293.55,278.47
312.71,250.37
200.08,426.42
289.94,726.0
300.94,726.0
229.72,380.09
79.94,727.0
431.27,65.05
409.94,727.0
398.94,727.0
299.47,269.2
377.92,148.44
349.5,7.0
360.5,7.0
311.33,250.67
294.93,278.17
216.5,8.0
227.5,8.0
182.29,454.22
401.63,111.38
371.99,157.71
103.85,574.98
223.94,726.0
234.94,726.0
176.37,463.48
383.85,139.18
389.78,129.91
90.94,727.0
101.94,727.0
317.26,241.41
437.5,7.0
41.5,7.0
52.5,7.0
448.5,7.0
459.53,19.02
109.77,565.71
289.0,287.43
115.7,556.45
315.5,8.0
81.51,611.74
371.5,7.0
360.14,176.24
14.94,726.0
25.94,726.0
157.2,491.59
311.94,726.0
56.42,649.11
322.94,726.0
87.44,602.47
333.94,726.0
112.94,727.0
395.71,120.65
189.94,727.0
216.48,398.93
420.94,727.0
140.5,7.0
151.5,7.0
431.94,727.0
235.65,370.83
442.94,727.0
382.5,7.0
393.5,7.0
441.75,46.82
63.5,7.0
238.5,8.0
249.5,8.0
260.5,8.0
133.49,528.65
382.47,139.48
460.92,18.72
192.77,435.99
75.59,621.0
281.69,297.0
200.94,727.0
256.94,726.0
267.94,726.0
22.23,704.4
206.01,417.15
123.94,727.0
134.94,727.0
140.8,519.08
74.5,7.0
85.5,7.0
337.5,8.0
348.5,8.0
247.5,352.29
404.5,7.0
32.71,686.17
419.42,83.58
257.98,334.06
413.49,92.85
271.21,315.23
344.94,726.0
355.94,726.0
453.61,28.29
211.94,727.0
222.94,727.0
162.5,7.0
173.5,7.0
174.98,463.79
300.86,268.9
40.5,8.0
9.0,723.23
271.5,8.0
282.5,8.0
293.5,8.0
407.56,102.11
68.28,630.57
466.84,9.45
204.62,417.46
370.61,158.01
36.94,726.0
47.94,726.0
58.94,726.0
233.94,727.0
278.94,726.0
24.94,727.0
366.94,726.0
34.09,685.87
156.94,727.0
167.94,727.0
51.5,8.0
107.5,7.0
96.5,7.0
118.5,7.0
364.68,167.28
358.76,176.54
370.5,8.0
336.42,213.3
381.5,8.0
426.5,7.0
305.4,259.94
263.91,324.8
169.06,473.05
63.73,639.54
377.94,726.0
99.3,583.94
388.94,726.0
180.91,454.52
244.94,727.0
255.94,727.0
195.5,7.0
206.5,7.0
287.62,287.74
73.5,8.0
97.92,584.24
62.5,8.0
211.93,407.89
304.5,8.0
194.15,435.69
366.06,166.97
121.63,547.18
69.94,726.0
80.94,726.0
266.94,727.0
376.54,148.75
178.94,727.0
111.16,565.41
84.5,8.0
129.5,7.0
217.5,7.0
10.38,722.93
392.5,8.0
7.5,8.0
18.5,8.0
44.57,667.64
403.5,8.0
414.5,8.0
459.5,7.0
454.99,27.99
326.5,8.0
40.02,676.6
447.68,37.56
170.44,472.75
91.94,726.0
429.89,65.35
50.49,658.37
277.14,305.96
346.9,195.08
283.07,296.7
421.94,726.0
399.94,726.0
410.94,726.0
186.84,445.26
277.94,727.0
288.94,727.0
228.5,7.0
239.5,7.0
95.5,8.0
106.5,8.0
69.66,630.27
259.36,333.76
152.65,500.55
435.82,56.09
340.97,204.34
449.06,37.25
45.95,667.33
102.94,726.0
113.94,726.0
26.78,695.44
250.5,7.0
436.5,8.0
29.5,8.0
240.19,361.86
425.5,8.0
246.12,352.6
265.29,324.5
188.22,444.95
269.83,315.53
359.5,8.0
128.94,537.61
352.83,185.81
124.94,726.0
387.94,727.0
432.94,726.0
443.94,726.0
454.94,726.0
13.94,727.0
127.56,537.92
241.57,361.56
299.94,727.0
310.94,727.0
321.94,727.0
261.5,7.0
272.5,7.0
318.64,241.1
117.5,8.0
128.5,8.0
139.5,8.0
184.5,7.0
275.76,306.27
74.21,621.31
443.13,46.52
348.28,194.77
447.5,8.0
217.86,398.62
134.87,528.35
57.8,648.8
105.23,574.68
16.31,713.66
135.94,726.0
146.94,726.0
80.13,612.04
163.13,482.32
145.34,510.12
423.97,74.62
437.2,55.78
458.5,8.0
335.04,213.61
14.92,713.97
222.41,389.66
146.72,509.81
28.16,695.13
117.08,556.14
62.35,639.84
164.51,482.02
465.94,726.0
151.27,500.85
394.33,120.95
332.94,727.0
223.79,389.36
343.94,727.0
283.5,7.0
294.5,7.0
150.5,8.0
161.5,8.0
172.5,8.0
139.42,519.38
324.57,231.84
412.11,93.15
329.12,222.87
406.18,102.42
342.35,204.04
323.19,232.14
198.7,426.72
91.99,593.51
245.94,726.0
157.94,726.0
168.94,726.0
179.94,726.0
354.94,727.0
35.94,727.0
86.06,602.78
252.05,343.33
38.64,676.9
305.5,7.0
418.04,83.88
354.21,185.51
